query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
test-culture-ahrtsdlgra-con01a,arguana,123,balanced,balanced,Dense,0.31949998810887337,317.34720000531524,0.01109996810555458,0.025200017262250185,0.0,3.234200004953891,1.2128999806009233,322.15009996434674,0,0,0
test-culture-ahrtsdlgra-con02a,arguana,123,balanced,balanced,Dense,0.28330000350251794,197.7513000019826,0.013699987903237343,0.02300000051036477,0.0,3.3011999912559986,1.122599991504103,202.49509997665882,0,0,0
test-culture-ahrtsdlgra-con03a,arguana,123,balanced,balanced,Dense,0.3002999583259225,234.2408000258729,0.010899966582655907,0.02400000812485814,0.0,2.7455000090412796,1.0683000436984003,238.389800011646,0,0,0
test-culture-ahrtsdlgra-pro01a,arguana,123,balanced,balanced,Dense,0.27709995629265904,208.94680003402755,0.011599971912801266,0.023300002794712782,0.0,2.632400020956993,1.0698999976739287,212.96109998365864,0,0,0
test-culture-ascidfakhba-con01a,arguana,123,balanced,balanced,Deep Hybrid,0.25350000942125916,486.4810999715701,0.01260003773495555,0.02300000051036477,1066.5993999573402,2.7484000311233103,1.2884000316262245,1557.4064000393264,1,100,0
test-culture-ascidfakhba-con02a,arguana,123,balanced,balanced,Deep Hybrid,0.28009997913613915,441.18309998884797,0.013100041542202234,0.025600020308047533,1335.9881999203935,2.7959999861195683,1.4220000011846423,1781.708099937532,1,100,0
test-culture-ascidfakhba-con03a,arguana,123,balanced,balanced,Dense,0.26870000874623656,309.1340000391938,0.012800039257854223,0.02429995220154524,0.0,2.6843000086955726,1.1964999721385539,313.32060002023354,0,0,0
test-culture-ascidfakhba-con04a,arguana,123,balanced,balanced,Deep Hybrid,0.27350004529580474,213.92290003132075,0.013399985618889332,0.024100008886307478,831.9408998941071,2.944999956525862,1.0479000047780573,1050.1676999265328,1,100,0
test-culture-ascidfakhba-pro03a,arguana,123,balanced,balanced,Dense,0.26110000908374786,363.02529997192323,0.01309998333454132,0.022799998987466097,0.0,2.625300025101751,1.2108000228181481,367.1584000112489,0,0,0
test-culture-ascidfakhba-pro04a,arguana,123,balanced,balanced,Dense,0.2954999799840152,459.1977000236511,0.013899989426136017,0.02169999061152339,0.0,3.6792000173591077,1.1047999723814428,464.31279997341335,0,0,0
test-culture-cgeeghwmeo-con01a,arguana,123,balanced,balanced,Deep Hybrid,0.29009999707341194,318.7962000374682,0.01209997572004795,0.02440001117065549,994.3228000192903,2.7335999766364694,1.025600009597838,1317.204800026957,1,100,0
test-culture-cgeeghwmeo-con03a,arguana,123,balanced,balanced,Dense,0.2723999787122011,161.53460001805797,0.013199984095990658,0.024800014216452837,0.0,2.620799990836531,1.0550000006332994,165.52079998655245,0,0,0
