query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
test-culture-ahrtsdlgra-con01a,arguana,123,lite,lite,Dense,0.31949998810887337,317.34720000531524,0.01109996810555458,0.025200017262250185,0.0,3.234200004953891,1.396800042130053,322.33400002587587,0,0,0
test-culture-ahrtsdlgra-con02a,arguana,123,lite,lite,Dense,0.28330000350251794,197.7513000019826,0.013699987903237343,0.02300000051036477,0.0,3.3011999912559986,1.1556000099517405,202.52809999510646,0,0,0
test-culture-ahrtsdlgra-con03a,arguana,123,lite,lite,Dense,0.3002999583259225,234.2408000258729,0.010899966582655907,0.02400000812485814,0.0,2.7455000090412796,1.077399996574968,238.39889996452257,0,0,0
test-culture-ahrtsdlgra-pro01a,arguana,123,lite,lite,Dense,0.27709995629265904,208.94680003402755,0.011599971912801266,0.023300002794712782,0.0,2.632400020956993,1.0426999651826918,212.9338999511674,0,0,0
test-culture-ascidfakhba-con01a,arguana,123,lite,lite,Dense,0.25350000942125916,486.4810999715701,0.01260003773495555,0.02300000051036477,0.0,2.7484000311233103,1.3786000199615955,490.89720007032156,0,0,0
test-culture-ascidfakhba-con02a,arguana,123,lite,lite,Dense,0.28009997913613915,441.18309998884797,0.013100041542202234,0.025600020308047533,0.0,2.7959999861195683,1.5198999899439514,445.8178000058979,0,0,0
test-culture-ascidfakhba-con03a,arguana,123,lite,lite,Dense,0.26870000874623656,309.1340000391938,0.012800039257854223,0.02429995220154524,0.0,2.6843000086955726,1.1425999691709876,313.266700017266,0,0,0
test-culture-ascidfakhba-con04a,arguana,123,lite,lite,Dense,0.27350004529580474,213.92290003132075,0.013399985618889332,0.024100008886307478,0.0,2.944999956525862,1.0507999686524272,218.22969999630004,0,0,0
test-culture-ascidfakhba-pro03a,arguana,123,lite,lite,Dense,0.26110000908374786,363.02529997192323,0.01309998333454132,0.022799998987466097,0.0,2.625300025101751,1.0439999750815332,366.9915999635123,0,0,0
test-culture-ascidfakhba-pro04a,arguana,123,lite,lite,Dense,0.2954999799840152,459.1977000236511,0.013899989426136017,0.02169999061152339,0.0,3.6792000173591077,1.014099980238825,464.22209998127073,0,0,0
test-culture-cgeeghwmeo-con01a,arguana,123,lite,lite,Dense,0.29009999707341194,318.7962000374682,0.01209997572004795,0.02440001117065549,0.0,2.7335999766364694,0.9973999694921076,322.8537999675609,0,0,0
test-culture-cgeeghwmeo-con03a,arguana,123,lite,lite,Dense,0.2723999787122011,161.53460001805797,0.013199984095990658,0.024800014216452837,0.0,2.620799990836531,1.0953000164590776,165.56110000237823,0,0,0
test-culture-cgeeghwmeo-con04a,arguana,123,lite,lite,Dense,0.25670003378763795,218.27819995814934,0.012500036973506212,0.024600012693554163,0.0,2.9420999926514924,1.031799998600036,222.54590003285557,0,0,0
test-culture-mmciahbans-con03a,arguana,123,lite,lite,Dense,0.37099997280165553,167.98510000808164,0.013399985618889332,0.02759997732937336,0.0,2.571500022895634,1.0738999699242413,172.04249993665144,0,0,0
test-culture-mmciahbans-pro01a,arguana,123,lite,lite,Dense,0.3393999650143087,137.20850000390783,0.012699980288743973,0.026500027161091566,0.0,2.5182999670505524,1.0477000032551587,141.15309994667768,0,0,0
test-culture-mmciahbans-pro02a,arguana,123,lite,lite,Dense,0.37940003676339984,261.426700046286,0.011299969628453255,0.024800014216452837,0.0,2.5635999627411366,1.021200034301728,265.42700006393716,0,0,0
test-culture-mmciahbans-pro03a,arguana,123,lite,lite,Dense,0.3473000251688063,167.88789996644482,0.01360004534944892,0.025800021830946207,0.0,2.5479000178165734,1.0329000069759786,171.85540008358657,0,0,0
test-culture-mmctghwbsa-con01a,arguana,123,lite,lite,Dense,0.3575000446289778,138.67100002244115,0.012199976481497288,0.026300025638192892,0.0,2.6486999704502523,0.9955999557860196,142.7112999954261,0,0,0
test-culture-mmctghwbsa-con03a,arguana,123,lite,lite,Dense,0.3320000250823796,194.64070000685751,0.012499978765845299,0.026999972760677338,0.0,2.580000029411167,1.0051000281237066,198.5973000410013,0,0,0
test-culture-mmctghwbsa-con04a,arguana,123,lite,lite,Dense,0.3375000087544322,201.46230002865195,0.012400036212056875,0.028699985705316067,0.0,3.3091999939642847,1.049600017722696,206.19970007101074,0,0,0
test-culture-mmctghwbsa-pro01a,arguana,123,lite,lite,Dense,0.2896999940276146,211.60899999085814,0.011299969628453255,0.028799986466765404,0.0,3.8714000256732106,1.036900037433952,216.84710000408813,0,0,0
test-culture-mmctghwbsa-pro02a,arguana,123,lite,lite,Dense,0.29009999707341194,143.75200000358745,0.013200042303651571,0.027999980375170708,0.0,2.556899969931692,1.0003999923355877,147.64059998560697,0,0,0
test-culture-mmctyshwbcp-pro02a,arguana,123,lite,lite,Dense,0.327100045979023,184.4769999734126,0.01179997343569994,0.0274000340141356,0.0,2.563499961979687,1.0016000014729798,188.40839999029413,0,0,0
test-culture-mmctyshwbcp-pro04a,arguana,123,lite,lite,Dense,0.29499997617676854,270.6499000196345,0.01209997572004795,0.028699985705316067,0.0,2.7750000008381903,0.9940000018104911,274.75469995988533,0,0,0
test-culture-mmctyshwbcp-pro06a,arguana,123,lite,lite,Dense,0.3296999493613839,147.247500019148,0.011499971151351929,0.027900037821382284,0.0,2.6123999850824475,1.061399991158396,151.29039995372295,0,0,0
test-culture-mthbah-con03a,arguana,123,lite,lite,Dense,0.2942999708466232,175.50030001439154,0.012199976481497288,0.029499991796910763,0.0,2.417900017462671,0.9938000002875924,179.24799997126684,0,0,0
