query_id,baseline,ndcg,action
test-culture-ahrtsdlgra-con02a,Dense-only,0.3562071871080222,Dense
test-culture-ahrtsdlgra-pro01a,Dense-only,0.6309297535714575,Dense
test-culture-ahrtsdlgra-pro03a,Dense-only,0.5,Dense
test-culture-ascidfakhba-con04a,Dense-only,0.0,Dense
test-culture-ascidfakhba-pro01a,Dense-only,0.5,Dense
test-culture-ascidfakhba-pro02a,Dense-only,0.3562071871080222,Dense
test-culture-ascidfakhba-pro04a,Dense-only,0.43067655807339306,Dense
test-culture-cgeeghwmeo-con01a,Dense-only,0.6309297535714575,Dense
test-culture-cgeeghwmeo-con02a,Dense-only,0.5,Dense
test-culture-cgeeghwmeo-con03a,Dense-only,0.5,Dense
test-culture-cgeeghwmeo-pro02a,Dense-only,0.5,Dense
test-culture-cgeeghwmeo-pro03a,Dense-only,0.0,Dense
test-culture-cgeeghwmeo-pro04a,Dense-only,0.5,Dense
test-culture-mmciahbans-con03a,Dense-only,0.43067655807339306,Dense
test-culture-mmciahbans-pro02a,Dense-only,0.5,Dense
test-culture-mmciahbans-pro03a,Dense-only,0.6309297535714575,Dense
test-culture-mmctghwbsa-con01a,Dense-only,0.6309297535714575,Dense
test-culture-mmctghwbsa-con03a,Dense-only,0.6309297535714575,Dense
test-culture-mmctghwbsa-con04a,Dense-only,0.6309297535714575,Dense
test-culture-mmctghwbsa-pro02a,Dense-only,0.43067655807339306,Dense
test-culture-mmctghwbsa-pro03a,Dense-only,0.6309297535714575,Dense
test-culture-mmctghwbsa-pro04a,Dense-only,0.5,Dense
test-culture-mmctyshwbcp-con03a,Dense-only,0.6309297535714575,Dense
test-culture-mmctyshwbcp-pro01a,Dense-only,0.3333333333333333,Dense
test-culture-mmctyshwbcp-pro03a,Dense-only,0.6309297535714575,Dense
test-culture-mthbah-con01a,Dense-only,0.6309297535714575,Dense
test-culture-mthbah-con04a,Dense-only,0.6309297535714575,Dense
test-culture-mthbah-pro01a,Dense-only,0.6309297535714575,Dense
test-culture-mthbah-pro03a,Dense-only,0.6309297535714575,Dense
test-culture-mthbah-pro04a,Dense-only,0.6309297535714575,Dense
test-culture-mthbah-pro05a,Dense-only,0.3562071871080222,Dense
test-culture-thbcsbptwhht-con02a,Dense-only,0.43067655807339306,Dense
test-culture-thbcsbptwhht-pro01a,Dense-only,0.5,Dense
test-culture-thbcsbptwhht-pro03a,Dense-only,0.38685280723454163,Dense
test-culture-thbcsbptwhht-pro04a,Dense-only,0.2890648263178879,Dense
test-culture-tlhrilsfhwr-con01a,Dense-only,0.6309297535714575,Dense
test-culture-tlhrilsfhwr-pro01a,Dense-only,0.0,Dense
test-culture-tlhrilsfhwr-pro02a,Dense-only,0.6309297535714575,Dense
test-digital-freedoms-aihbiahr-pro02a,Dense-only,0.2890648263178879,Dense
test-digital-freedoms-aihwbasmn-con02a,Dense-only,0.5,Dense
test-digital-freedoms-aihwbasmn-pro01a,Dense-only,0.5,Dense
test-digital-freedoms-aihwbasmn-pro02a,Dense-only,0.0,Dense
test-digital-freedoms-aihwbasmn-pro04a,Dense-only,0.0,Dense
test-digital-freedoms-dfiphbgs-con01a,Dense-only,0.5,Dense
test-digital-freedoms-dfiphbgs-con03a,Dense-only,0.3333333333333333,Dense
test-digital-freedoms-dfiphbgs-pro01a,Dense-only,0.3333333333333333,Dense
test-digital-freedoms-dfiphbgs-pro02a,Dense-only,0.6309297535714575,Dense
