query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
test-culture-ahrtsdlgra-pro02a,arguana,42,high_recall,high_recall,Dense,0.2671999973244965,306.87359999865294,0.012299977242946625,0.031000003218650818,0.0,2.6107000303454697,1.3296999968588352,311.12450000364333,0,0,0
test-culture-ahrtsdlgra-pro03a,arguana,42,high_recall,high_recall,Dense,0.3141000051982701,273.10240000952035,0.010699965059757233,0.023600005079060793,0.0,3.1934999860823154,1.1718999594449997,277.81619993038476,0,0,0
test-culture-ascidfakhba-con02a,arguana,42,high_recall,high_recall,Dense,0.28009997913613915,441.18309998884797,0.013100041542202234,0.025600020308047533,0.0,2.7959999861195683,1.047199999447912,445.34510001540184,0,0,0
test-culture-ascidfakhba-con03a,arguana,42,high_recall,high_recall,Deep Hybrid,0.26870000874623656,309.1340000391938,0.012800039257854223,0.02429995220154524,920.4780999571085,2.6843000086955726,1.0278000263497233,1233.6300000315532,1,100,0
test-culture-ascidfakhba-con04a,arguana,42,high_recall,high_recall,Deep Hybrid,0.27350004529580474,213.92290003132075,0.013399985618889332,0.024100008886307478,831.9408998941071,2.944999956525862,1.393500017002225,1050.513299938757,1,100,0
test-culture-ascidfakhba-pro01a,arguana,42,high_recall,high_recall,Dense,0.2614000113680959,519.5041000260971,0.013299984857439995,0.025099958293139935,0.0,2.789400052279234,1.3682999997399747,523.961600032635,0,0,0
test-culture-cgeeghwmeo-con01a,arguana,42,high_recall,high_recall,Deep Hybrid,0.29009999707341194,318.7962000374682,0.01209997572004795,0.02440001117065549,994.3228000192903,2.7335999766364694,1.1130999773740768,1317.2922999947332,1,100,0
test-culture-cgeeghwmeo-con02a,arguana,42,high_recall,high_recall,Dense,0.2829000004567206,256.6312000271864,0.01279998105019331,0.023600005079060793,0.0,3.701200010254979,1.0278999689035118,261.6795999929309,0,0,0
test-culture-cgeeghwmeo-con04a,arguana,42,high_recall,high_recall,Deep Hybrid,0.25670003378763795,218.27819995814934,0.012500036973506212,0.024600012693554163,986.8705999688245,2.9420999926514924,1.0634000063873827,1209.4481000094675,1,100,0
test-culture-cgeeghwmeo-pro03a,arguana,42,high_recall,high_recall,Dense,0.3761000116355717,283.91940001165494,0.012699980288743973,0.02929999027401209,0.0,2.614600001834333,1.013199973385781,287.9652999690734,0,0,0
test-culture-mmciahbans-con04a,arguana,42,high_recall,high_recall,Dense,0.35849999403581023,181.6060999990441,0.01279998105019331,0.025600020308047533,0.0,2.5244999560527503,0.9999999892897904,185.52749993978068,0,0,0
test-culture-mmciahbans-pro03a,arguana,42,high_recall,high_recall,Dense,0.3473000251688063,167.88789996644482,0.01360004534944892,0.025800021830946207,0.0,2.5479000178165734,1.011099957395345,171.83360003400594,0,0,0
test-culture-mmctghwbsa-con01a,arguana,42,high_recall,high_recall,Dense,0.3575000446289778,138.67100002244115,0.012199976481497288,0.026300025638192892,0.0,2.6486999704502523,0.9951000101864338,142.7108000498265,0,0,0
test-culture-mmctghwbsa-con03a,arguana,42,high_recall,high_recall,Dense,0.3320000250823796,194.64070000685751,0.012499978765845299,0.026999972760677338,0.0,2.580000029411167,1.0276000248268247,198.6198000377044,0,0,0
test-culture-mmctghwbsa-con04a,arguana,42,high_recall,high_recall,Dense,0.3375000087544322,201.46230002865195,0.012400036212056875,0.028699985705316067,0.0,3.3091999939642847,1.0334000107832253,206.18350006407127,0,0,0
test-culture-mmctghwbsa-pro03a,arguana,42,high_recall,high_recall,Dense,0.33300003269687295,150.7185999653302,0.012499978765845299,0.027800037059932947,0.0,2.959099947474897,1.0053999722003937,155.05639993352816,0,0,0
test-culture-mmctghwbsa-pro04a,arguana,42,high_recall,high_recall,Deep Hybrid,0.3206999972462654,226.88840003684163,0.012999982573091984,0.02819998189806938,867.307799984701,3.0613000271841884,1.0252000065520406,1098.6446000169963,1,100,0
