query_id,baseline,ndcg,action
10039,Dense-only,0.6309297535714575,Dense
10136,Dense-only,0.2960819109658652,Dense
10213,Dense-only,0.0,Dense
10246,Dense-only,0.0,Dense
104,Dense-only,0.6131471927654584,Dense
10414,Dense-only,0.7977228895450266,Dense
10497,Dense-only,0.5009732673492617,Dense
10558,Dense-only,0.6131471927654584,Dense
10596,Dense-only,0.951231200062686,Dense
106,Dense-only,1.0,Dense
10601,Dense-only,0.0,Dense
10628,Dense-only,0.3333333333333333,Dense
10710,Dense-only,0.0,Dense
10734,Dense-only,0.7751482523375255,Dense
10792,Dense-only,0.8315546295836225,Dense
10808,Dense-only,0.7653606369886217,Dense
10827,Dense-only,0.16958010263680806,Dense
109,Dense-only,1.0,Dense
10975,Dense-only,0.0,Dense
10979,Dense-only,0.5413996682199069,Dense
11054,Dense-only,1.0,Dense
1150,Dense-only,0.15101961822780524,Dense
1157,Dense-only,0.38685280723454163,Dense
1198,Dense-only,1.0,Dense
1284,Dense-only,0.6309297535714575,Dense
1297,Dense-only,0.6309297535714575,Dense
1306,Dense-only,0.19519002499605084,Dense
1310,Dense-only,1.0,Dense
1393,Dense-only,0.644824486427155,Dense
1416,Dense-only,0.0,Dense
1441,Dense-only,1.0,Dense
1451,Dense-only,0.6309297535714575,Dense
15,Dense-only,1.0,Dense
1530,Dense-only,0.7653606369886217,Dense
1676,Dense-only,0.4517623092632536,Dense
1748,Dense-only,0.46927872602275644,Dense
1783,Dense-only,0.0,Dense
18,Dense-only,0.0,Dense
1819,Dense-only,0.15130120674940672,Dense
1824,Dense-only,0.6309297535714575,Dense
1826,Dense-only,1.0,Dense
1915,Dense-only,1.0,Dense
1920,Dense-only,0.0,Dense
1948,Dense-only,1.0,Dense
2051,Dense-only,0.0,Dense
2070,Dense-only,0.13565197343244778,Dense
2076,Dense-only,1.0,Dense
2154,Dense-only,0.0,Dense
2181,Dense-only,0.0,Dense
2183,Dense-only,0.6898511839334865,Dense
2204,Dense-only,0.9032222912290939,Dense
2296,Dense-only,0.48256607501657156,Dense
2316,Dense-only,1.0,Dense
2384,Dense-only,0.0,Dense
2395,Dense-only,0.0,Dense
2398,Dense-only,0.0,Dense
2400,Dense-only,0.46927872602275644,Dense
2407,Dense-only,0.0,Dense
2416,Dense-only,1.0,Dense
2443,Dense-only,0.0,Dense
2460,Dense-only,1.0,Dense
2486,Dense-only,1.0,Dense
2498,Dense-only,0.0,Dense
2516,Dense-only,0.664550862590272,Dense
2549,Dense-only,0.6131471927654584,Dense
2551,Dense-only,1.0,Dense
2579,Dense-only,0.11706259313796354,Dense
2580,Dense-only,0.46927872602275644,Dense
2590,Dense-only,0.46927872602275644,Dense
2593,Dense-only,0.2960819109658652,Dense
2598,Dense-only,0.5,Dense
2648,Dense-only,1.0,Dense
2685,Dense-only,0.3260595412115671,Dense
2695,Dense-only,1.0,Dense
2713,Dense-only,0.21840743681816419,Dense
2724,Dense-only,0.6131471927654584,Dense
2737,Dense-only,1.0,Dense
2747,Dense-only,0.43067655807339306,Dense
2801,Dense-only,0.8065735963827293,Dense
2856,Dense-only,0.7365896932159578,Dense
2880,Dense-only,1.0,Dense
2885,Dense-only,0.0,Dense
2903,Dense-only,0.0,Dense
2923,Dense-only,0.8357799744028239,Dense
2964,Dense-only,0.0,Dense
2968,Dense-only,1.0,Dense
3006,Dense-only,0.4296937870297496,Dense
3049,Dense-only,0.5272750663607827,Dense
3067,Dense-only,0.21840743681816419,Dense
3085,Dense-only,0.0,Dense
3115,Dense-only,0.4329261794091841,Dense
3125,Dense-only,1.0,Dense
3149,Dense-only,0.0,Dense
3189,Dense-only,0.0,Dense
3357,Dense-only,0.6309297535714575,Dense
3369,Dense-only,0.0,Dense
3404,Dense-only,0.5546406709327603,Dense
3405,Dense-only,0.0,Dense
3451,Dense-only,0.17342765698823945,Dense
3480,Dense-only,1.0,Dense
3500,Dense-only,0.5499887725471476,Dense
3503,Dense-only,0.4803256732448246,Dense
3512,Dense-only,0.7977228895450266,Dense
3534,Dense-only,0.0,Dense
3566,Dense-only,0.4632423659320675,Dense
3625,Dense-only,0.46927872602275644,Dense
3724,Dense-only,0.46900009332067494,Dense
3767,Dense-only,0.0,Dense
3771,Dense-only,0.4103915680233244,Dense
3781,Dense-only,1.0,Dense
3789,Dense-only,0.7598336331031966,Dense
3791,Dense-only,0.18154179253735267,Dense
3801,Dense-only,0.6131471927654584,Dense
3859,Dense-only,0.0,Dense
3888,Dense-only,0.0,Dense
3909,Dense-only,0.35895421017163476,Dense
3932,Dense-only,0.3065735963827292,Dense
4011,Dense-only,1.0,Dense
4019,Dense-only,0.21398626473452756,Dense
4031,Dense-only,0.0,Dense
4047,Dense-only,0.9619991470595832,Dense
4071,Dense-only,0.0,Dense
4102,Dense-only,0.123151194370365,Dense
4105,Dense-only,0.0,Dense
4116,Dense-only,0.6131471927654584,Dense
4142,Dense-only,0.3071837157818931,Dense
4179,Dense-only,0.6309297535714575,Dense
42,Dense-only,0.0,Dense
4205,Dense-only,0.46927872602275644,Dense
4265,Dense-only,0.7526136409516659,Dense
4289,Dense-only,0.6131471927654584,Dense
4394,Dense-only,0.0,Dense
4411,Dense-only,0.46927872602275644,Dense
4415,Dense-only,0.0,Dense
4433,Dense-only,0.0,Dense
