query_id,baseline,ndcg,action
10109,Dense-only,0.5399294342072939,Dense
10122,Dense-only,0.0,Dense
10136,Dense-only,0.2960819109658652,Dense
10137,Dense-only,0.5,Dense
10183,Dense-only,0.23719771276929622,Dense
10213,Dense-only,0.0,Dense
10267,Dense-only,0.0,Dense
10447,Dense-only,0.20210734650054757,Dense
10482,Dense-only,0.0,Dense
10497,Dense-only,0.5009732673492617,Dense
10526,Dense-only,0.3065735963827292,Dense
10547,Dense-only,0.0,Dense
10558,Dense-only,0.6131471927654584,Dense
10601,Dense-only,0.0,Dense
10645,Dense-only,0.37800210039683896,Dense
10710,Dense-only,0.0,Dense
10734,Dense-only,0.7751482523375255,Dense
1074,Dense-only,1.0,Dense
10808,Dense-only,0.7653606369886217,Dense
10809,Dense-only,0.7653606369886217,Dense
10812,Dense-only,0.6366824387328317,Dense
10845,Dense-only,1.0,Dense
1085,Dense-only,0.0,Dense
109,Dense-only,1.0,Dense
10912,Dense-only,0.0,Dense
10932,Dense-only,1.0,Dense
10975,Dense-only,0.0,Dense
10979,Dense-only,0.5413996682199069,Dense
10994,Dense-only,0.2640681225725909,Dense
11039,Dense-only,0.1698945472148159,Dense
11088,Dense-only,1.0,Dense
1150,Dense-only,0.15101961822780524,Dense
1157,Dense-only,0.38685280723454163,Dense
1159,Dense-only,0.0,Dense
1198,Dense-only,1.0,Dense
1281,Dense-only,0.6309297535714575,Dense
1321,Dense-only,0.0,Dense
1322,Dense-only,0.3903800499921017,Dense
1451,Dense-only,0.6309297535714575,Dense
1469,Dense-only,1.0,Dense
1670,Dense-only,0.7039180890341347,Dense
1748,Dense-only,0.46927872602275644,Dense
18,Dense-only,0.0,Dense
1815,Dense-only,1.0,Dense
1819,Dense-only,0.15130120674940672,Dense
1824,Dense-only,0.6309297535714575,Dense
1832,Dense-only,0.43067655807339306,Dense
1877,Dense-only,1.0,Dense
1915,Dense-only,1.0,Dense
1920,Dense-only,0.0,Dense
1933,Dense-only,1.0,Dense
1948,Dense-only,1.0,Dense
2051,Dense-only,0.0,Dense
2075,Dense-only,0.6553462294121515,Dense
2076,Dense-only,1.0,Dense
2088,Dense-only,0.0,Dense
2154,Dense-only,0.0,Dense
2183,Dense-only,0.6898511839334865,Dense
2264,Dense-only,0.3065735963827292,Dense
2306,Dense-only,0.3065735963827292,Dense
2316,Dense-only,1.0,Dense
2318,Dense-only,0.0,Dense
2334,Dense-only,0.7039180890341347,Dense
2348,Dense-only,0.3024038304938509,Dense
2388,Dense-only,1.0,Dense
2400,Dense-only,0.46927872602275644,Dense
2407,Dense-only,0.0,Dense
2443,Dense-only,0.0,Dense
2460,Dense-only,1.0,Dense
2472,Dense-only,0.0,Dense
2486,Dense-only,1.0,Dense
2513,Dense-only,0.5,Dense
2549,Dense-only,0.6131471927654584,Dense
2551,Dense-only,1.0,Dense
2589,Dense-only,0.7653606369886217,Dense
2590,Dense-only,0.46927872602275644,Dense
2593,Dense-only,0.2960819109658652,Dense
2598,Dense-only,0.5,Dense
2648,Dense-only,1.0,Dense
2676,Dense-only,1.0,Dense
2747,Dense-only,0.43067655807339306,Dense
2749,Dense-only,0.5714285040141098,Dense
2856,Dense-only,0.7365896932159578,Dense
2880,Dense-only,1.0,Dense
2885,Dense-only,0.0,Dense
2891,Dense-only,1.0,Dense
2895,Dense-only,0.0,Dense
2964,Dense-only,0.0,Dense
2968,Dense-only,1.0,Dense
2994,Dense-only,0.2960819109658652,Dense
3008,Dense-only,0.3903800499921017,Dense
3014,Dense-only,0.6131471927654584,Dense
3033,Dense-only,0.38685280723454163,Dense
3039,Dense-only,0.43067655807339306,Dense
3049,Dense-only,0.5272750663607827,Dense
3115,Dense-only,0.4329261794091841,Dense
3148,Dense-only,0.5087403079104241,Dense
3186,Dense-only,0.6934264036172708,Dense
3264,Dense-only,0.7598336331031966,Dense
3394,Dense-only,0.3903800499921017,Dense
3405,Dense-only,0.0,Dense
3446,Dense-only,0.6067795937417813,Dense
3453,Dense-only,0.6131471927654584,Dense
3490,Dense-only,0.0,Dense
3500,Dense-only,0.5499887725471476,Dense
3528,Dense-only,0.0,Dense
3530,Dense-only,0.16716045496620227,Dense
3534,Dense-only,0.0,Dense
3612,Dense-only,0.0,Dense
3625,Dense-only,0.46927872602275644,Dense
3694,Dense-only,0.6131471927654584,Dense
3735,Dense-only,0.0,Dense
3789,Dense-only,0.7598336331031966,Dense
3791,Dense-only,0.18154179253735267,Dense
3822,Dense-only,0.0,Dense
3859,Dense-only,0.0,Dense
3875,Dense-only,1.0,Dense
3934,Dense-only,0.0,Dense
3995,Dense-only,0.0,Dense
4007,Dense-only,0.6105456988825855,Dense
4019,Dense-only,0.21398626473452756,Dense
4037,Dense-only,0.0,Dense
4047,Dense-only,0.9619991470595832,Dense
4105,Dense-only,0.0,Dense
4125,Dense-only,0.0,Dense
4188,Dense-only,0.0,Dense
4205,Dense-only,0.46927872602275644,Dense
4233,Dense-only,0.9818483242455303,Dense
4265,Dense-only,0.7526136409516659,Dense
4286,Dense-only,0.6131471927654584,Dense
4306,Dense-only,0.6542448095688422,Dense
4312,Dense-only,0.6930226460117497,Dense
4339,Dense-only,1.0,Dense
4411,Dense-only,0.46927872602275644,Dense
4414,Dense-only,0.2640681225725909,Dense
4447,Dense-only,0.6309297535714575,Dense
4464,Dense-only,0.3010299956639812,Dense
4499,Dense-only,0.23463936301137822,Dense
4500,Dense-only,0.0,Dense
4504,Dense-only,1.0,Dense
4600,Dense-only,1.0,Dense
4605,Dense-only,0.6730234638881231,Dense
4641,Dense-only,0.3391602052736161,Dense
4681,Dense-only,1.0,Dense
475,Dense-only,1.0,Dense
4775,Dense-only,0.0,Dense
4785,Dense-only,1.0,Dense
4844,Dense-only,0.6131471927654584,Dense
4846,Dense-only,0.0,Dense
4863,Dense-only,0.7777061538487877,Dense
4865,Dense-only,0.0,Dense
4920,Dense-only,0.7653606369886217,Dense
4942,Dense-only,0.0,Dense
4955,Dense-only,0.0,Dense
4962,Dense-only,0.6131471927654584,Dense
4981,Dense-only,0.7653606369886217,Dense
4999,Dense-only,0.5855700749881525,Dense
503,Dense-only,0.0,Dense
5030,Dense-only,0.0,Dense
5045,Dense-only,0.3562071871080222,Dense
5054,Dense-only,0.0,Dense
5064,Dense-only,0.9197207891481876,Dense
5150,Dense-only,0.3333333333333333,Dense
5172,Dense-only,0.0,Dense
5206,Dense-only,0.13032376591037062,Dense
5228,Dense-only,0.0,Dense
5254,Dense-only,0.6131471927654584,Dense
5343,Dense-only,0.6309297535714575,Dense
5347,Dense-only,1.0,Dense
5369,Dense-only,0.0,Dense
5374,Dense-only,0.0,Dense
5427,Dense-only,0.38685280723454163,Dense
5460,Dense-only,0.0,Dense
5464,Dense-only,0.6713860725233041,Dense
547,Dense-only,0.0,Dense
549,Dense-only,0.0,Dense
5503,Dense-only,0.6131471927654584,Dense
5534,Dense-only,0.6131471927654584,Dense
5549,Dense-only,0.0,Dense
5585,Dense-only,0.0,Dense
56,Dense-only,0.6309297535714575,Dense
5616,Dense-only,0.3333333333333333,Dense
5646,Dense-only,1.0,Dense
5683,Dense-only,1.0,Dense
570,Dense-only,0.0,Dense
5710,Dense-only,0.31546487678572877,Dense
5782,Dense-only,0.3391602052736161,Dense
5790,Dense-only,0.0,Dense
5808,Dense-only,0.6309297535714575,Dense
585,Dense-only,0.6131471927654584,Dense
5903,Dense-only,0.0,Dense
5906,Dense-only,0.5437713091520254,Dense
594,Dense-only,0.6131471927654584,Dense
5940,Dense-only,0.0,Dense
6009,Dense-only,0.0,Dense
604,Dense-only,0.43734888382569426,Dense
6121,Dense-only,0.6131471927654584,Dense
6133,Dense-only,0.23719771276929622,Dense
6199,Dense-only,0.5855700749881525,Dense
620,Dense-only,0.16958010263680806,Dense
6219,Dense-only,1.0,Dense
622,Dense-only,0.0,Dense
6441,Dense-only,0.3562071871080222,Dense
6468,Dense-only,0.8065735963827293,Dense
6479,Dense-only,0.9197207891481876,Dense
6525,Dense-only,0.7653606369886217,Dense
659,Dense-only,0.5965377185773229,Dense
6611,Dense-only,0.5437713091520254,Dense
6612,Dense-only,0.0,Dense
6629,Dense-only,0.0,Dense
6683,Dense-only,0.19342640361727081,Dense
6715,Dense-only,0.9197207891481876,Dense
6746,Dense-only,0.38685280723454163,Dense
6792,Dense-only,0.0,Dense
68,Dense-only,0.0,Dense
6803,Dense-only,0.5413996682199069,Dense
6807,Dense-only,1.0,Dense
6832,Dense-only,0.6052602440527057,Dense
6835,Dense-only,0.38685280723454163,Dense
6862,Dense-only,1.0,Dense
687,Dense-only,0.0,Dense
6875,Dense-only,0.0,Dense
6891,Dense-only,0.46927872602275644,Dense
6896,Dense-only,0.0,Dense
691,Dense-only,0.3562071871080222,Dense
6959,Dense-only,0.20438239758848611,Dense
6985,Dense-only,1.0,Dense
699,Dense-only,0.5,Dense
701,Dense-only,0.0,Dense
7017,Dense-only,0.0,Dense
7080,Dense-only,0.8315546295836225,Dense
7096,Dense-only,0.0,Dense
7105,Dense-only,0.43067655807339306,Dense
7141,Dense-only,0.3065735963827292,Dense
715,Dense-only,0.0,Dense
7178,Dense-only,0.6309297535714575,Dense
7205,Dense-only,1.0,Dense
721,Dense-only,1.0,Dense
7269,Dense-only,0.43067655807339306,Dense
7329,Dense-only,0.6131471927654584,Dense
7344,Dense-only,0.38685280723454163,Dense
7345,Dense-only,0.0,Dense
