query_id,baseline,ndcg,action
PLAIN-1008,Dense-only,0.0,Dense
PLAIN-1018,Dense-only,0.22793826167775835,Dense
PLAIN-1028,Dense-only,0.0,Dense
PLAIN-1050,Dense-only,0.0,Dense
PLAIN-1066,Dense-only,0.0,Dense
PLAIN-1098,Dense-only,0.0,Dense
PLAIN-1130,Dense-only,1.0,Dense
PLAIN-1141,Dense-only,0.4381081808305046,Dense
PLAIN-1172,Dense-only,0.2200917662980802,Dense
PLAIN-1183,Dense-only,0.29849003527675555,Dense
PLAIN-1193,Dense-only,0.06943122193677728,Dense
PLAIN-12,Dense-only,0.08460552821190488,Dense
PLAIN-1203,Dense-only,0.3301376494471203,Dense
PLAIN-1225,Dense-only,0.5587148206871072,Dense
PLAIN-123,Dense-only,0.05657095544334433,Dense
PLAIN-1249,Dense-only,0.0,Dense
PLAIN-1262,Dense-only,0.29345568839744024,Dense
PLAIN-1275,Dense-only,0.5326208815196266,Dense
PLAIN-1288,Dense-only,0.42883980903376645,Dense
PLAIN-1299,Dense-only,0.2200917662980802,Dense
PLAIN-133,Dense-only,0.0,Dense
PLAIN-1353,Dense-only,0.0,Dense
PLAIN-1374,Dense-only,0.0,Dense
PLAIN-1387,Dense-only,0.5473983622993503,Dense
PLAIN-1441,Dense-only,0.4099509148465345,Dense
PLAIN-1453,Dense-only,0.23440650992329992,Dense
PLAIN-1463,Dense-only,0.18844415212771543,Dense
PLAIN-1473,Dense-only,1.0,Dense
PLAIN-1506,Dense-only,0.13886244387355456,Dense
PLAIN-153,Dense-only,0.9455636957344249,Dense
PLAIN-1579,Dense-only,0.0,Dense
PLAIN-1601,Dense-only,0.7034066032439749,Dense
PLAIN-1611,Dense-only,0.0,Dense
PLAIN-1667,Dense-only,0.7264127302306637,Dense
PLAIN-1679,Dense-only,0.0,Dense
PLAIN-1710,Dense-only,1.0,Dense
PLAIN-1752,Dense-only,0.0,Dense
PLAIN-1784,Dense-only,0.0,Dense
PLAIN-1794,Dense-only,1.0,Dense
PLAIN-1817,Dense-only,0.5271064966405457,Dense
PLAIN-1827,Dense-only,0.0,Dense
PLAIN-1837,Dense-only,1.0,Dense
PLAIN-1847,Dense-only,0.2200917662980802,Dense
PLAIN-1857,Dense-only,0.5637884576902257,Dense
PLAIN-1877,Dense-only,0.0,Dense
PLAIN-1909,Dense-only,0.510069131458292,Dense
PLAIN-1919,Dense-only,0.9363792118010483,Dense
PLAIN-1940,Dense-only,0.35895421017163476,Dense
PLAIN-1950,Dense-only,0.24890832702259466,Dense
PLAIN-196,Dense-only,0.314880130667631,Dense
PLAIN-1972,Dense-only,0.0,Dense
PLAIN-1983,Dense-only,0.8630152897016883,Dense
PLAIN-1995,Dense-only,0.0,Dense
PLAIN-2,Dense-only,0.6904523678128511,Dense
PLAIN-2019,Dense-only,0.0,Dense
PLAIN-2061,Dense-only,0.6758704024811183,Dense
PLAIN-207,Dense-only,0.45953262310069537,Dense
PLAIN-2071,Dense-only,0.46627747176364104,Dense
PLAIN-2081,Dense-only,0.0,Dense
PLAIN-2102,Dense-only,0.7534494445524139,Dense
PLAIN-2113,Dense-only,0.0,Dense
PLAIN-2134,Dense-only,0.0,Dense
PLAIN-2167,Dense-only,0.0,Dense
PLAIN-2187,Dense-only,0.0,Dense
PLAIN-2220,Dense-only,0.3833427799846345,Dense
PLAIN-2230,Dense-only,0.0,Dense
PLAIN-227,Dense-only,0.0,Dense
PLAIN-2291,Dense-only,0.0,Dense
PLAIN-2332,Dense-only,0.2863459897524693,Dense
PLAIN-2343,Dense-only,0.0,Dense
PLAIN-2375,Dense-only,0.0,Dense
PLAIN-2386,Dense-only,0.0,Dense
PLAIN-2430,Dense-only,0.5449795138799276,Dense
PLAIN-2440,Dense-only,0.0,Dense
PLAIN-2490,Dense-only,0.0,Dense
PLAIN-2500,Dense-only,0.1371614420335284,Dense
PLAIN-2510,Dense-only,0.7846170207230129,Dense
PLAIN-2520,Dense-only,0.07839826897867534,Dense
PLAIN-2530,Dense-only,0.9095430364058891,Dense
PLAIN-2550,Dense-only,0.123472117778634,Dense
PLAIN-2560,Dense-only,0.9363792118010482,Dense
PLAIN-2570,Dense-only,0.4056048435479872,Dense
PLAIN-2590,Dense-only,0.1905479965882331,Dense
PLAIN-2610,Dense-only,0.25469837558210445,Dense
