query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
PLAIN-1008,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.5907000158913434,2.245000039692968,0.01379998866468668,0.01680001150816679,802.4692999315448,0.6848999764770269,1.1468000011518598,807.1672999649309,1,100,0
PLAIN-1018,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3094999701716006,1.13800005055964,0.00990001717582345,0.021599989850074053,614.4286999478936,2.7061000000685453,1.0711000068113208,619.6848999825306,1,100,0
PLAIN-1028,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3234000178053975,2.355300006456673,0.010299962013959885,0.023300002794712782,657.6495000044815,2.5050000404007733,1.0580000234767795,663.9248000574298,1,100,0
PLAIN-1050,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.317899975925684,2.8918000170961022,0.010200019460171461,0.022499996703118086,610.8855999773368,0.16910000704228878,1.03859999217093,615.3356999857351,1,100,0
PLAIN-1066,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3510999958962202,2.8596000047400594,0.009300012607127428,0.025300018023699522,628.130599972792,2.2193000186234713,1.0579000227153301,634.6531000453979,1,100,0
PLAIN-1098,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.31450000824406743,1.2032000231556594,0.009400013368576765,0.018899969290941954,840.782199986279,0.16150000737980008,1.476300007198006,843.9660000149161,1,100,0
PLAIN-1130,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.34069997491315007,1.1777000036090612,0.009700015652924776,0.02519995905458927,633.2132000825368,2.210300008300692,1.2091999524272978,638.1859999964945,1,100,0
PLAIN-1141,nfcorpus,123,high_recall,high_recall,Dense,0.29039999935775995,2.180500014219433,0.010699965059757233,0.02500001573935151,0.0,2.6094000204466283,1.0777999996207654,6.1938000144436955,0,0,0
PLAIN-1172,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.30150002567097545,1.4946999726817012,0.010100018698722124,0.023200002033263445,606.0517000150867,2.2219999809749424,1.0331000084988773,611.1363000236452,1,100,0
PLAIN-1183,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.30519999563694,1.361300004646182,0.009100011084228754,0.023600005079060793,635.450099944137,2.5434999843128026,1.0849999962374568,640.7777999411337,1,100,0
PLAIN-1193,nfcorpus,123,high_recall,high_recall,Dense,0.29719999292865396,2.0746999653056264,0.009000010322779417,0.022899999748915434,0.0,2.5560000212863088,1.0230999905616045,5.9828999801538885,0,0,0
PLAIN-12,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3035000408999622,4.848599957767874,0.00990001717582345,0.02440001117065549,563.5141999810003,2.537699998356402,1.0514000314287841,572.2897000377998,1,100,0
PLAIN-1203,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3111999831162393,2.295200014486909,0.010400020983070135,0.02489995677024126,672.9427000391297,2.4710000143386424,1.0047000250779092,679.0601000539027,1,100,0
PLAIN-1225,nfcorpus,123,high_recall,high_recall,Dense,0.30399998649954796,1.2396000092849135,0.008700008038431406,0.022199994418770075,0.0,2.5052999844774604,1.0290000354871154,5.108800018206239,0,0,0
PLAIN-123,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.28849998489022255,6.4628999680280685,0.010100018698722124,0.025200017262250185,852.6431000209413,2.6650999789126217,1.0412000119686127,863.1361000007018,1,100,0
PLAIN-1249,nfcorpus,123,high_recall,high_recall,Dense,0.3032999811694026,2.124299993738532,0.009600014891475439,0.026499968953430653,0.0,2.488900034222752,1.0111999581567943,5.963799951132387,0,0,0
PLAIN-1262,nfcorpus,123,high_recall,high_recall,Dense,0.2867000293917954,5.346699967049062,0.010000017937272787,0.025500019546598196,0.0,2.447199949529022,1.0238999966531992,9.13999998010695,0,0,0
PLAIN-1275,nfcorpus,123,high_recall,high_recall,Dense,0.2817999920807779,2.5077000027522445,0.009200011845678091,0.02389994915574789,0.0,2.5660000392235816,1.0395999997854233,6.428199994843453,0,0,0
PLAIN-1288,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3197999903932214,1.3704000157304108,0.0097999582067132,0.02370000584051013,874.3277000030503,2.571500022895634,1.0012999991886318,879.6241999953054,1,100,0
PLAIN-1299,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3388000186532736,2.2089999984018505,0.010200019460171461,0.02429995220154524,911.7382999975234,3.155200043693185,1.0424999636597931,918.5182999935932,1,100,0
PLAIN-133,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.2981999423354864,5.374200001824647,0.010400020983070135,0.0247000134550035,875.5679000169039,2.472899970598519,1.0397000005468726,884.7879999666475,1,100,0
PLAIN-1353,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.33569999504834414,1.1716000153683126,0.009100011084228754,0.02169999061152339,839.9838999612257,2.1855999948456883,1.1223999899812043,844.829999958165,1,100,0
PLAIN-1374,nfcorpus,123,high_recall,high_recall,Dense,0.31919998582452536,2.106000029016286,0.010400020983070135,0.02540001878514886,0.0,2.6945999707095325,1.0279000271111727,6.183500052429736,0,0,0
PLAIN-1387,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.30699995113536716,1.0949000134132802,0.008300004992634058,0.02370000584051013,606.1935999896377,2.527999982703477,1.0248000035062432,611.1802999512292,1,100,0
PLAIN-1441,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.28660002863034606,1.3135999906808138,0.009299954399466515,0.025600020308047533,558.2136000157334,3.120000008493662,1.0045000235550106,563.9732000418007,1,100,0
PLAIN-1453,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.2888999879360199,2.2904000361450016,0.01009996049106121,0.02570002106949687,594.893499976024,2.5192999746650457,1.0414000134915113,601.0692999698222,1,100,0
PLAIN-1463,nfcorpus,123,high_recall,high_recall,Dense,0.3355999942868948,2.215400047134608,0.009400013368576765,0.02570002106949687,0.0,2.6064999983645976,1.0400000028312206,6.232600077055395,0,0,0
PLAIN-1473,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3153000143356621,1.2649999698624015,0.009600014891475439,0.022599997464567423,827.2831999929622,2.1890999632887542,1.040999952238053,832.1257999050431,1,100,0
PLAIN-1506,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.33409998286515474,1.1537999962456524,0.009100011084228754,0.023799948394298553,904.2797000729479,2.4500000290572643,1.0030000121332705,909.2535000527278,1,100,0
PLAIN-153,nfcorpus,123,high_recall,high_recall,Dense,0.3173999721184373,4.5844000414945185,0.009499955922365189,0.0247000134550035,0.0,2.386000007390976,1.0093000018969178,8.331299992278218,0,0,0
PLAIN-1579,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.34169998252764344,1.4399000210687518,0.009000010322779417,0.022499996703118086,581.4996999688447,2.2058000322431326,1.0344000183977187,586.5530000301078,1,100,0
PLAIN-1601,nfcorpus,123,high_recall,high_recall,Dense,0.2919000107795,1.1057000374421477,0.009199953638017178,0.023800006601959467,0.0,2.704199985601008,1.0788000072352588,5.213600001297891,0,0,0
PLAIN-1611,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.2919000107795,1.2774000060744584,0.009600014891475439,0.02210005186498165,832.6866999268532,0.16569998115301132,1.0053999722003937,835.458799963817,1,100,0
PLAIN-1667,nfcorpus,123,high_recall,high_recall,Dense,0.30989997321739793,2.190500032156706,0.009599956683814526,0.025100016500800848,0.0,2.5200999807566404,1.034799963235855,6.089999922551215,0,0,0
PLAIN-1679,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.2856999635696411,1.1216000420972705,0.007299997378140688,0.02069998299703002,806.207700050436,0.1563999685458839,0.9928999934345484,808.7922999984585,1,100,0
PLAIN-1710,nfcorpus,123,high_recall,high_recall,Dense,0.3412999794818461,1.2906999909318984,0.00790000194683671,0.023300002794712782,0.0,2.5816999841481447,1.0609999881125987,5.305899947416037,0,0,0
PLAIN-1752,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.2919000107795,1.248600019607693,0.010199961252510548,0.02269999822601676,823.9392999676056,0.16060000052675605,1.0574999614618719,826.73079991946,1,100,0
PLAIN-1784,nfcorpus,123,high_recall,high_recall,Dense,0.29150000773370266,2.1569000091403723,0.009999959729611874,0.025300018023699522,0.0,2.55719997221604,1.0151999886147678,6.056099955458194,0,0,0
PLAIN-1794,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.3373000072315335,1.2347999727353454,0.008800008799880743,0.023600005079060793,872.9530000127852,2.590599993709475,1.0369999799877405,878.1850999803282,1,100,0
PLAIN-1817,nfcorpus,123,high_recall,high_recall,Dense,0.3111000405624509,2.515500003937632,0.009800016414374113,0.024800014216452837,0.0,2.5307000032626092,0.9814999648369849,6.373400043230504,0,0,0
PLAIN-1827,nfcorpus,123,high_recall,high_recall,Deep Hybrid,0.31350000062957406,1.3191999751143157,0.009600014891475439,0.022099993657320738,831.6626999876462,0.1677999971434474,1.0099000064656138,834.5047999755479,1,100,0
