query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
PLAIN-1008,nfcorpus,123,lite,lite,Dense,0.5907000158913434,2.245000039692968,0.01379998866468668,0.01680001150816679,0.0,0.6848999764770269,1.1678999871946871,4.719100019428879,0,0,0
PLAIN-1018,nfcorpus,123,lite,lite,Dense,0.3094999701716006,1.13800005055964,0.00990001717582345,0.021599989850074053,0.0,2.7061000000685453,1.0961000225506723,5.281200050376356,0,0,0
PLAIN-1028,nfcorpus,123,lite,lite,Dense,0.3234000178053975,2.355300006456673,0.010299962013959885,0.023300002794712782,0.0,2.5050000404007733,1.0544999968260527,6.271800026297569,0,0,0
PLAIN-1050,nfcorpus,123,lite,lite,Dense,0.317899975925684,2.8918000170961022,0.010200019460171461,0.022499996703118086,0.0,0.16910000704228878,1.0306999902240932,4.442200006451458,0,0,0
PLAIN-1066,nfcorpus,123,lite,lite,Dense,0.3510999958962202,2.8596000047400594,0.009300012607127428,0.025300018023699522,0.0,2.2193000186234713,1.0451999842189252,6.509800034109503,0,0,0
PLAIN-1098,nfcorpus,123,lite,lite,Dense,0.31450000824406743,1.2032000231556594,0.009400013368576765,0.018899969290941954,0.0,0.16150000737980008,1.49639998562634,3.2039000070653856,0,0,0
PLAIN-1130,nfcorpus,123,lite,lite,Dense,0.34069997491315007,1.1777000036090612,0.009700015652924776,0.02519995905458927,0.0,2.210300008300692,1.1073999921791255,4.870999953709543,0,0,0
PLAIN-1141,nfcorpus,123,lite,lite,Dense,0.29039999935775995,2.180500014219433,0.010699965059757233,0.02500001573935151,0.0,2.6094000204466283,1.06229999801144,6.17830001283437,0,0,0
PLAIN-1172,nfcorpus,123,lite,lite,Dense,0.30150002567097545,1.4946999726817012,0.010100018698722124,0.023200002033263445,0.0,2.2219999809749424,1.0621999972499907,5.113699997309595,0,0,0
PLAIN-1183,nfcorpus,123,lite,lite,Dense,0.30519999563694,1.361300004646182,0.009100011084228754,0.023600005079060793,0.0,2.5434999843128026,1.0142999817617238,5.256999982520938,0,0,0
PLAIN-1193,nfcorpus,123,lite,lite,Dense,0.29719999292865396,2.0746999653056264,0.009000010322779417,0.022899999748915434,0.0,2.5560000212863088,1.0485000093467534,6.008299998939037,0,0,0
PLAIN-12,nfcorpus,123,lite,lite,Dense,0.3035000408999622,4.848599957767874,0.00990001717582345,0.02440001117065549,0.0,2.537699998356402,1.038899994455278,8.763000019825995,0,0,0
PLAIN-1203,nfcorpus,123,lite,lite,Dense,0.3111999831162393,2.295200014486909,0.010400020983070135,0.02489995677024126,0.0,2.4710000143386424,1.0347000206820667,6.147400010377169,0,0,0
PLAIN-1225,nfcorpus,123,lite,lite,Dense,0.30399998649954796,1.2396000092849135,0.008700008038431406,0.022199994418770075,0.0,2.5052999844774604,0.9917000425048172,5.071500025223941,0,0,0
PLAIN-123,nfcorpus,123,lite,lite,Dense,0.28849998489022255,6.4628999680280685,0.010100018698722124,0.025200017262250185,0.0,2.6650999789126217,1.0209999745711684,10.472799942363054,0,0,0
PLAIN-1249,nfcorpus,123,lite,lite,Dense,0.3032999811694026,2.124299993738532,0.009600014891475439,0.026499968953430653,0.0,2.488900034222752,0.9904999751597643,5.943099968135357,0,0,0
PLAIN-1262,nfcorpus,123,lite,lite,Dense,0.2867000293917954,5.346699967049062,0.010000017937272787,0.025500019546598196,0.0,2.447199949529022,1.0203999700024724,9.136499953456223,0,0,0
PLAIN-1275,nfcorpus,123,lite,lite,Dense,0.2817999920807779,2.5077000027522445,0.009200011845678091,0.02389994915574789,0.0,2.5660000392235816,1.0745000327005982,6.463100027758628,0,0,0
PLAIN-1288,nfcorpus,123,lite,lite,Dense,0.3197999903932214,1.3704000157304108,0.0097999582067132,0.02370000584051013,0.0,2.571500022895634,1.2814999790862203,5.57669997215271,0,0,0
PLAIN-1299,nfcorpus,123,lite,lite,Dense,0.3388000186532736,2.2089999984018505,0.010200019460171461,0.02429995220154524,0.0,3.155200043693185,1.0381999891251326,6.775700021535158,0,0,0
PLAIN-133,nfcorpus,123,lite,lite,Dense,0.2981999423354864,5.374200001824647,0.010400020983070135,0.0247000134550035,0.0,2.472899970598519,0.9808000177145004,9.161199966911227,0,0,0
PLAIN-1353,nfcorpus,123,lite,lite,Dense,0.33569999504834414,1.1716000153683126,0.009100011084228754,0.02169999061152339,0.0,2.1855999948456883,1.0020000045187771,4.725700011476874,0,0,0
PLAIN-1374,nfcorpus,123,lite,lite,Dense,0.31919998582452536,2.106000029016286,0.010400020983070135,0.02540001878514886,0.0,2.6945999707095325,1.0186000145040452,6.174200039822608,0,0,0
PLAIN-1387,nfcorpus,123,lite,lite,Dense,0.30699995113536716,1.0949000134132802,0.008300004992634058,0.02370000584051013,0.0,2.527999982703477,1.033000007737428,4.994899965822697,0,0,0
PLAIN-1441,nfcorpus,123,lite,lite,Dense,0.28660002863034606,1.3135999906808138,0.009299954399466515,0.025600020308047533,0.0,3.120000008493662,1.0086999973282218,5.763799999840558,0,0,0
PLAIN-1453,nfcorpus,123,lite,lite,Dense,0.2888999879360199,2.2904000361450016,0.01009996049106121,0.02570002106949687,0.0,2.5192999746650457,1.0579000227153301,6.1923000030219555,0,0,0
PLAIN-1463,nfcorpus,123,lite,lite,Dense,0.3355999942868948,2.215400047134608,0.009400013368576765,0.02570002106949687,0.0,2.6064999983645976,0.9825000306591392,6.175100104883313,0,0,0
PLAIN-1473,nfcorpus,123,lite,lite,Dense,0.3153000143356621,1.2649999698624015,0.009600014891475439,0.022599997464567423,0.0,2.1890999632887542,1.0159999947063625,4.817599954549223,0,0,0
PLAIN-1506,nfcorpus,123,lite,lite,Dense,0.33409998286515474,1.1537999962456524,0.009100011084228754,0.023799948394298553,0.0,2.4500000290572643,1.0171000030823052,4.987899970728904,0,0,0
PLAIN-153,nfcorpus,123,lite,lite,Dense,0.3173999721184373,4.5844000414945185,0.009499955922365189,0.0247000134550035,0.0,2.386000007390976,0.9898999705910683,8.311899960972369,0,0,0
PLAIN-1579,nfcorpus,123,lite,lite,Dense,0.34169998252764344,1.4399000210687518,0.009000010322779417,0.022499996703118086,0.0,2.2058000322431326,0.9746000287123024,4.993500071577728,0,0,0
PLAIN-1601,nfcorpus,123,lite,lite,Dense,0.2919000107795,1.1057000374421477,0.009199953638017178,0.023800006601959467,0.0,2.704199985601008,1.0636000079102814,5.198400001972914,0,0,0
PLAIN-1611,nfcorpus,123,lite,lite,Dense,0.2919000107795,1.2774000060744584,0.009600014891475439,0.02210005186498165,0.0,0.16569998115301132,1.061999995727092,2.828700060490519,0,0,0
PLAIN-1667,nfcorpus,123,lite,lite,Dense,0.30989997321739793,2.190500032156706,0.009599956683814526,0.025100016500800848,0.0,2.5200999807566404,1.0571999591775239,6.112399918492883,0,0,0
PLAIN-1679,nfcorpus,123,lite,lite,Dense,0.2856999635696411,1.1216000420972705,0.007299997378140688,0.02069998299703002,0.0,0.1563999685458839,0.992499990388751,2.5841999449767172,0,0,0
PLAIN-1710,nfcorpus,123,lite,lite,Dense,0.3412999794818461,1.2906999909318984,0.00790000194683671,0.023300002794712782,0.0,2.5816999841481447,1.0608999873511493,5.305799946654588,0,0,0
PLAIN-1752,nfcorpus,123,lite,lite,Dense,0.2919000107795,1.248600019607693,0.010199961252510548,0.02269999822601676,0.0,0.16060000052675605,1.0237999958917499,2.757799986284226,0,0,0
PLAIN-1784,nfcorpus,123,lite,lite,Dense,0.29150000773370266,2.1569000091403723,0.009999959729611874,0.025300018023699522,0.0,2.55719997221604,1.0062000364996493,6.0471000033430755,0,0,0
PLAIN-1794,nfcorpus,123,lite,lite,Dense,0.3373000072315335,1.2347999727353454,0.008800008799880743,0.023600005079060793,0.0,2.590599993709475,0.9822000283747911,5.177300015930086,0,0,0
PLAIN-1817,nfcorpus,123,lite,lite,Dense,0.3111000405624509,2.515500003937632,0.009800016414374113,0.024800014216452837,0.0,2.5307000032626092,0.9891999652609229,6.381100043654442,0,0,0
PLAIN-1827,nfcorpus,123,lite,lite,Dense,0.31350000062957406,1.3191999751143157,0.009600014891475439,0.022099993657320738,0.0,0.1677999971434474,0.970599998254329,2.8027999796904624,0,0,0
PLAIN-1837,nfcorpus,123,lite,lite,Dense,0.27249997947365046,1.212799979839474,0.008000002708286047,0.0219999928958714,0.0,2.6499000377953053,1.0176000068895519,5.182799999602139,0,0,0
PLAIN-1847,nfcorpus,123,lite,lite,Dense,0.3212000010535121,1.3436999870464206,0.00990001717582345,0.023200002033263445,0.0,2.2060999763198197,1.0076999897137284,4.911799973342568,0,0,0
PLAIN-1857,nfcorpus,123,lite,lite,Dense,0.304899993352592,2.1616999874822795,0.009699957445263863,0.025600020308047533,0.0,2.5305000017397106,1.0241999989375472,6.056599959265441,0,0,0
PLAIN-1877,nfcorpus,123,lite,lite,Dense,0.3062000032514334,2.4753999896347523,0.010200019460171461,0.02519995905458927,0.0,2.597200043965131,0.992499990388751,6.4067000057548285,0,0,0
PLAIN-1909,nfcorpus,123,lite,lite,Dense,0.2510999911464751,1.1558000114746392,0.009600014891475439,0.02370000584051013,0.0,2.592700009699911,1.014399982523173,5.047300015576184,0,0,0
PLAIN-1919,nfcorpus,123,lite,lite,Dense,0.2798999776132405,2.1779999951831996,0.010000017937272787,0.025100016500800848,0.0,2.6428999844938517,0.9818999678827822,6.117799959611148,0,0,0
PLAIN-1940,nfcorpus,123,lite,lite,Dense,0.32079999800771475,1.144799985922873,0.009400013368576765,0.022199994418770075,0.0,2.439600008074194,1.1407000129111111,5.07750001270324,0,0,0
PLAIN-1950,nfcorpus,123,lite,lite,Dense,0.3153000143356621,1.2455000542104244,0.009800016414374113,0.024600012693554163,0.0,2.4535999982617795,1.0789000079967082,5.1277001039125025,0,0,0
