query_id,baseline,ndcg,action
PLAIN-1008,Dense-only,0.0,Dense
PLAIN-1018,Dense-only,0.22793826167775835,Dense
PLAIN-1039,Dense-only,1.0,Dense
PLAIN-1066,Dense-only,0.0,Dense
PLAIN-1088,Dense-only,0.5531464700081437,Dense
PLAIN-1098,Dense-only,0.0,Dense
PLAIN-1119,Dense-only,0.0,Dense
PLAIN-1130,Dense-only,1.0,Dense
PLAIN-1141,Dense-only,0.4381081808305046,Dense
PLAIN-1151,Dense-only,0.3565964385966263,Dense
PLAIN-1172,Dense-only,0.2200917662980802,Dense
PLAIN-1183,Dense-only,0.29849003527675555,Dense
PLAIN-1193,Dense-only,0.06943122193677728,Dense
PLAIN-12,Dense-only,0.08460552821190488,Dense
PLAIN-1236,Dense-only,0.3391602052736161,Dense
PLAIN-1262,Dense-only,0.29345568839744024,Dense
PLAIN-1275,Dense-only,0.5326208815196266,Dense
PLAIN-1288,Dense-only,0.42883980903376645,Dense
PLAIN-1309,Dense-only,0.0,Dense
PLAIN-1320,Dense-only,0.19092086617893467,Dense
PLAIN-1342,Dense-only,0.5420423054868792,Dense
PLAIN-1353,Dense-only,0.0,Dense
PLAIN-143,Dense-only,0.6573548268593187,Dense
PLAIN-1441,Dense-only,0.4099509148465345,Dense
PLAIN-1485,Dense-only,0.0,Dense
PLAIN-1516,Dense-only,0.0,Dense
PLAIN-1527,Dense-only,0.9148568823583791,Dense
PLAIN-1547,Dense-only,0.0,Dense
PLAIN-1579,Dense-only,0.0,Dense
PLAIN-1679,Dense-only,0.0,Dense
PLAIN-1721,Dense-only,0.42520843362602384,Dense
PLAIN-1731,Dense-only,0.7653606369886217,Dense
PLAIN-1752,Dense-only,0.0,Dense
PLAIN-1762,Dense-only,0.4125317798925535,Dense
PLAIN-1772,Dense-only,1.0,Dense
PLAIN-1784,Dense-only,0.0,Dense
PLAIN-1805,Dense-only,0.92663607790064,Dense
PLAIN-1817,Dense-only,0.5271064966405457,Dense
PLAIN-1847,Dense-only,0.2200917662980802,Dense
PLAIN-1857,Dense-only,0.5637884576902257,Dense
PLAIN-1877,Dense-only,0.0,Dense
PLAIN-1887,Dense-only,0.0,Dense
PLAIN-1909,Dense-only,0.510069131458292,Dense
PLAIN-1919,Dense-only,0.9363792118010483,Dense
PLAIN-196,Dense-only,0.314880130667631,Dense
PLAIN-2009,Dense-only,0.1089364926177559,Dense
PLAIN-2071,Dense-only,0.46627747176364104,Dense
PLAIN-2092,Dense-only,0.6489315753318466,Dense
PLAIN-2124,Dense-only,0.7624164915943119,Dense
PLAIN-2134,Dense-only,0.0,Dense
PLAIN-2167,Dense-only,0.0,Dense
PLAIN-217,Dense-only,0.0,Dense
PLAIN-2187,Dense-only,0.0,Dense
PLAIN-2220,Dense-only,0.3833427799846345,Dense
PLAIN-2261,Dense-only,0.5887498202463202,Dense
PLAIN-2291,Dense-only,0.0,Dense
PLAIN-23,Dense-only,0.03668196104968003,Dense
PLAIN-2332,Dense-only,0.2863459897524693,Dense
PLAIN-2354,Dense-only,0.5531464700081437,Dense
PLAIN-2364,Dense-only,0.0,Dense
PLAIN-238,Dense-only,0.0,Dense
PLAIN-2386,Dense-only,0.0,Dense
PLAIN-2430,Dense-only,0.5449795138799276,Dense
PLAIN-2450,Dense-only,0.36288691033421755,Dense
PLAIN-2460,Dense-only,0.23945264781598385,Dense
PLAIN-248,Dense-only,0.36288691033421755,Dense
PLAIN-2480,Dense-only,0.2924738724991338,Dense
PLAIN-2490,Dense-only,0.0,Dense
PLAIN-2530,Dense-only,0.9095430364058891,Dense
PLAIN-2540,Dense-only,0.27102980292598017,Dense
PLAIN-2550,Dense-only,0.123472117778634,Dense
PLAIN-2570,Dense-only,0.4056048435479872,Dense
PLAIN-2580,Dense-only,0.2602976320043505,Dense
PLAIN-259,Dense-only,0.24890832702259466,Dense
PLAIN-2590,Dense-only,0.1905479965882331,Dense
PLAIN-2630,Dense-only,0.494639655562801,Dense
PLAIN-2660,Dense-only,0.4035015715464803,Dense
PLAIN-2670,Dense-only,0.48743049588658793,Dense
PLAIN-2710,Dense-only,0.6402790376562014,Dense
PLAIN-2720,Dense-only,0.024454640699786683,Dense
PLAIN-2730,Dense-only,0.5510347089604342,Dense
PLAIN-2740,Dense-only,0.7426491430698599,Dense
