query_id,baseline,ndcg,action
PLAIN-1018,Dense-only,0.22793826167775835,Dense
PLAIN-1050,Dense-only,0.0,Dense
PLAIN-1066,Dense-only,0.0,Dense
PLAIN-1119,Dense-only,0.0,Dense
PLAIN-112,Dense-only,0.7058680856494566,Dense
PLAIN-1151,Dense-only,0.3565964385966263,Dense
PLAIN-1161,Dense-only,0.0,Dense
PLAIN-1172,Dense-only,0.2200917662980802,Dense
PLAIN-1193,Dense-only,0.06943122193677728,Dense
PLAIN-12,Dense-only,0.08460552821190488,Dense
PLAIN-1236,Dense-only,0.3391602052736161,Dense
PLAIN-1262,Dense-only,0.29345568839744024,Dense
PLAIN-1275,Dense-only,0.5326208815196266,Dense
PLAIN-1288,Dense-only,0.42883980903376645,Dense
PLAIN-1299,Dense-only,0.2200917662980802,Dense
PLAIN-1353,Dense-only,0.0,Dense
PLAIN-1363,Dense-only,0.06943122193677728,Dense
PLAIN-1387,Dense-only,0.5473983622993503,Dense
PLAIN-1398,Dense-only,1.0,Dense
PLAIN-143,Dense-only,0.6573548268593187,Dense
PLAIN-1441,Dense-only,0.4099509148465345,Dense
PLAIN-1473,Dense-only,1.0,Dense
PLAIN-1506,Dense-only,0.13886244387355456,Dense
PLAIN-1527,Dense-only,0.9148568823583791,Dense
PLAIN-153,Dense-only,0.9455636957344249,Dense
PLAIN-1537,Dense-only,0.7529694065526482,Dense
PLAIN-1547,Dense-only,0.0,Dense
PLAIN-1568,Dense-only,0.0,Dense
PLAIN-1601,Dense-only,0.7034066032439749,Dense
PLAIN-1611,Dense-only,0.0,Dense
PLAIN-1621,Dense-only,0.0,Dense
PLAIN-1656,Dense-only,0.06362078819895173,Dense
PLAIN-1710,Dense-only,1.0,Dense
PLAIN-1721,Dense-only,0.42520843362602384,Dense
PLAIN-1731,Dense-only,0.7653606369886217,Dense
PLAIN-1752,Dense-only,0.0,Dense
PLAIN-1794,Dense-only,1.0,Dense
PLAIN-1805,Dense-only,0.92663607790064,Dense
PLAIN-1847,Dense-only,0.2200917662980802,Dense
PLAIN-186,Dense-only,0.13886244387355456,Dense
PLAIN-1887,Dense-only,0.0,Dense
PLAIN-1940,Dense-only,0.35895421017163476,Dense
PLAIN-1950,Dense-only,0.24890832702259466,Dense
PLAIN-2,Dense-only,0.6904523678128511,Dense
PLAIN-2009,Dense-only,0.1089364926177559,Dense
PLAIN-2019,Dense-only,0.0,Dense
PLAIN-2030,Dense-only,0.0,Dense
PLAIN-2040,Dense-only,0.727329844310522,Dense
PLAIN-2051,Dense-only,0.5599332595218056,Dense
PLAIN-2071,Dense-only,0.46627747176364104,Dense
