query_id,baseline,ndcg,action
1,Dense-only,0.0,Dense
1012,Dense-only,1.0,Dense
1024,Dense-only,0.6309297535714575,Dense
1029,Dense-only,0.7653606369886217,Dense
1049,Dense-only,0.43067655807339306,Dense
1062,Dense-only,1.0,Dense
1088,Dense-only,1.0,Dense
1089,Dense-only,1.0,Dense
1099,Dense-only,0.2890648263178879,Dense
1100,Dense-only,0.43067655807339306,Dense
1104,Dense-only,1.0,Dense
1110,Dense-only,0.0,Dense
1121,Dense-only,0.6309297535714575,Dense
113,Dense-only,1.0,Dense
1150,Dense-only,1.0,Dense
1163,Dense-only,1.0,Dense
118,Dense-only,1.0,Dense
1185,Dense-only,1.0,Dense
1187,Dense-only,0.6309297535714575,Dense
1194,Dense-only,1.0,Dense
1196,Dense-only,0.5,Dense
1197,Dense-only,0.5,Dense
1200,Dense-only,0.0,Dense
1202,Dense-only,1.0,Dense
1207,Dense-only,1.0,Dense
1213,Dense-only,0.0,Dense
1216,Dense-only,1.0,Dense
1225,Dense-only,1.0,Dense
1232,Dense-only,1.0,Dense
1241,Dense-only,1.0,Dense
1259,Dense-only,1.0,Dense
1270,Dense-only,1.0,Dense
1273,Dense-only,1.0,Dense
1278,Dense-only,0.0,Dense
1280,Dense-only,0.0,Dense
1281,Dense-only,0.0,Dense
1282,Dense-only,1.0,Dense
129,Dense-only,1.0,Dense
1290,Dense-only,1.0,Dense
1292,Dense-only,1.0,Dense
13,Dense-only,0.3333333333333333,Dense
1303,Dense-only,1.0,Dense
1336,Dense-only,0.6309297535714575,Dense
1352,Dense-only,1.0,Dense
1359,Dense-only,1.0,Dense
1368,Dense-only,0.5,Dense
137,Dense-only,1.0,Dense
1370,Dense-only,0.38685280723454163,Dense
1379,Dense-only,0.9058653015743079,Dense
1385,Dense-only,0.6309297535714575,Dense
1389,Dense-only,1.0,Dense
141,Dense-only,0.9197207891481876,Dense
142,Dense-only,1.0,Dense
143,Dense-only,1.0,Dense
148,Dense-only,0.5,Dense
163,Dense-only,0.6309297535714575,Dense
171,Dense-only,1.0,Dense
179,Dense-only,0.9619991470595832,Dense
180,Dense-only,1.0,Dense
183,Dense-only,0.3010299956639812,Dense
185,Dense-only,0.0,Dense
212,Dense-only,1.0,Dense
216,Dense-only,1.0,Dense
218,Dense-only,1.0,Dense
233,Dense-only,1.0,Dense
237,Dense-only,0.5,Dense
239,Dense-only,0.31546487678572877,Dense
261,Dense-only,0.39564672360221187,Dense
274,Dense-only,1.0,Dense
275,Dense-only,0.6364391809889587,Dense
294,Dense-only,0.2890648263178879,Dense
295,Dense-only,0.31546487678572877,Dense
3,Dense-only,0.38685280723454163,Dense
312,Dense-only,0.0,Dense
324,Dense-only,0.0,Dense
338,Dense-only,1.0,Dense
343,Dense-only,0.9197207891481876,Dense
354,Dense-only,1.0,Dense
362,Dense-only,0.6309297535714575,Dense
380,Dense-only,1.0,Dense
386,Dense-only,1.0,Dense
399,Dense-only,1.0,Dense
421,Dense-only,0.0,Dense
436,Dense-only,1.0,Dense
437,Dense-only,0.0,Dense
439,Dense-only,1.0,Dense
440,Dense-only,1.0,Dense
443,Dense-only,1.0,Dense
452,Dense-only,0.23719771276929622,Dense
475,Dense-only,0.0,Dense
478,Dense-only,0.2890648263178879,Dense
48,Dense-only,0.0,Dense
49,Dense-only,1.0,Dense
502,Dense-only,0.0,Dense
508,Dense-only,0.0,Dense
516,Dense-only,1.0,Dense
521,Dense-only,0.43067655807339306,Dense
525,Dense-only,1.0,Dense
532,Dense-only,1.0,Dense
533,Dense-only,0.5,Dense
535,Dense-only,0.3010299956639812,Dense
54,Dense-only,0.43067655807339306,Dense
540,Dense-only,0.6131471927654584,Dense
56,Dense-only,1.0,Dense
569,Dense-only,1.0,Dense
577,Dense-only,0.5,Dense
593,Dense-only,1.0,Dense
598,Dense-only,0.38685280723454163,Dense
613,Dense-only,1.0,Dense
619,Dense-only,0.0,Dense
623,Dense-only,0.3010299956639812,Dense
628,Dense-only,1.0,Dense
636,Dense-only,1.0,Dense
