query_id,baseline,ndcg,action
12,Dense-only,0.085143117641621,Dense
14,Dense-only,0.5854565614332868,Dense
16,Dense-only,1.0,Dense
19,Dense-only,0.12168993952978893,Dense
20,Dense-only,0.611755947233009,Dense
25,Dense-only,0.8584094881082909,Dense
26,Dense-only,0.2965933967560253,Dense
27,Dense-only,0.8611375561264455,Dense
28,Dense-only,0.5900490851534655,Dense
30,Dense-only,0.5959038630109096,Dense
32,Dense-only,0.11004588314904008,Dense
33,Dense-only,0.6701975824021963,Dense
35,Dense-only,0.16421958630632805,Dense
37,Dense-only,0.3359305827520231,Dense
38,Dense-only,0.2965933967560253,Dense
39,Dense-only,0.9432379215722527,Dense
40,Dense-only,0.9216017310213247,Dense
41,Dense-only,1.0,Dense
42,Dense-only,0.955830517697074,Dense
43,Dense-only,1.0,Dense
45,Dense-only,0.5471632073457939,Dense
46,Dense-only,0.43231813227099475,Dense
48,Dense-only,0.8307078519737277,Dense
8,Dense-only,0.22784037450527975,Dense
9,Dense-only,0.0,Dense
12,Always-Hybrid,0.3601842009904407,Deep Hybrid
14,Always-Hybrid,0.6139693490201902,Deep Hybrid
16,Always-Hybrid,0.8590331472570638,Deep Hybrid
19,Always-Hybrid,0.6696940783532127,Deep Hybrid
20,Always-Hybrid,1.0,Deep Hybrid
25,Always-Hybrid,0.9363792118010482,Deep Hybrid
26,Always-Hybrid,1.0,Deep Hybrid
27,Always-Hybrid,1.0,Deep Hybrid
28,Always-Hybrid,1.0,Deep Hybrid
30,Always-Hybrid,0.92663607790064,Deep Hybrid
32,Always-Hybrid,0.4495923615080625,Deep Hybrid
33,Always-Hybrid,0.8990684392693267,Deep Hybrid
35,Always-Hybrid,0.3764459522792426,Deep Hybrid
37,Always-Hybrid,0.8926382747840401,Deep Hybrid
38,Always-Hybrid,0.9575861412006988,Deep Hybrid
39,Always-Hybrid,0.9008240627729516,Deep Hybrid
40,Always-Hybrid,1.0,Deep Hybrid
41,Always-Hybrid,0.8482378089219647,Deep Hybrid
42,Always-Hybrid,0.9477344873475498,Deep Hybrid
43,Always-Hybrid,0.7935840677649109,Deep Hybrid
45,Always-Hybrid,0.5161769796369121,Deep Hybrid
46,Always-Hybrid,1.0,Deep Hybrid
48,Always-Hybrid,0.6848374495230164,Deep Hybrid
8,Always-Hybrid,0.901447006056365,Deep Hybrid
9,Always-Hybrid,0.34640517988858555,Deep Hybrid
12,Random,0.3601842009904407,Deep Hybrid
14,Random,0.6139693490201902,Deep Hybrid
16,Random,0.8590331472570638,Deep Hybrid
19,Random,0.6696940783532127,Deep Hybrid
20,Random,1.0,Deep Hybrid
25,Random,0.9363792118010482,Deep Hybrid
26,Random,1.0,Deep Hybrid
27,Random,1.0,Deep Hybrid
28,Random,1.0,Deep Hybrid
30,Random,0.92663607790064,Deep Hybrid
32,Random,0.4495923615080625,Deep Hybrid
33,Random,0.8990684392693267,Deep Hybrid
35,Random,0.3764459522792426,Deep Hybrid
37,Random,0.8926382747840401,Deep Hybrid
38,Random,0.9575861412006988,Deep Hybrid
39,Random,0.9008240627729516,Deep Hybrid
40,Random,1.0,Deep Hybrid
41,Random,0.8482378089219647,Deep Hybrid
42,Random,0.9477344873475498,Deep Hybrid
43,Random,0.7935840677649109,Deep Hybrid
45,Random,0.5161769796369121,Deep Hybrid
46,Random,1.0,Deep Hybrid
48,Random,0.6848374495230164,Deep Hybrid
8,Random,0.901447006056365,Deep Hybrid
9,Random,0.34640517988858555,Deep Hybrid
12,Dense-margin,0.3601842009904407,Deep Hybrid
14,Dense-margin,0.6139693490201902,Deep Hybrid
16,Dense-margin,0.8590331472570638,Deep Hybrid
19,Dense-margin,0.6696940783532127,Deep Hybrid
20,Dense-margin,0.611755947233009,Dense
25,Dense-margin,0.9363792118010482,Deep Hybrid
26,Dense-margin,0.2965933967560253,Dense
27,Dense-margin,1.0,Deep Hybrid
28,Dense-margin,1.0,Deep Hybrid
30,Dense-margin,0.5959038630109096,Dense
32,Dense-margin,0.11004588314904008,Dense
33,Dense-margin,0.8990684392693267,Deep Hybrid
35,Dense-margin,0.3764459522792426,Deep Hybrid
37,Dense-margin,0.3359305827520231,Dense
38,Dense-margin,0.9575861412006988,Deep Hybrid
39,Dense-margin,0.9432379215722527,Dense
40,Dense-margin,1.0,Deep Hybrid
41,Dense-margin,0.8482378089219647,Deep Hybrid
42,Dense-margin,0.9477344873475498,Deep Hybrid
43,Dense-margin,1.0,Dense
45,Dense-margin,0.5471632073457939,Dense
46,Dense-margin,0.43231813227099475,Dense
48,Dense-margin,0.8307078519737277,Dense
8,Dense-margin,0.22784037450527975,Dense
9,Dense-margin,0.0,Dense
12,Dense-entropy,0.3601842009904407,Deep Hybrid
14,Dense-entropy,0.5854565614332868,Dense
16,Dense-entropy,1.0,Dense
19,Dense-entropy,0.6696940783532127,Deep Hybrid
20,Dense-entropy,0.611755947233009,Dense
25,Dense-entropy,0.9363792118010482,Deep Hybrid
26,Dense-entropy,1.0,Deep Hybrid
27,Dense-entropy,1.0,Deep Hybrid
28,Dense-entropy,0.5900490851534655,Dense
30,Dense-entropy,0.5959038630109096,Dense
32,Dense-entropy,0.4495923615080625,Deep Hybrid
33,Dense-entropy,0.6701975824021963,Dense
35,Dense-entropy,0.3764459522792426,Deep Hybrid
37,Dense-entropy,0.8926382747840401,Deep Hybrid
38,Dense-entropy,0.9575861412006988,Deep Hybrid
39,Dense-entropy,0.9432379215722527,Dense
40,Dense-entropy,1.0,Deep Hybrid
41,Dense-entropy,0.8482378089219647,Deep Hybrid
42,Dense-entropy,0.955830517697074,Dense
43,Dense-entropy,1.0,Dense
45,Dense-entropy,0.5471632073457939,Dense
46,Dense-entropy,0.43231813227099475,Dense
48,Dense-entropy,0.6848374495230164,Deep Hybrid
8,Dense-entropy,0.901447006056365,Deep Hybrid
9,Dense-entropy,0.0,Dense
12,Regression-only,0.3601842009904407,Deep Hybrid
14,Regression-only,0.6139693490201902,Deep Hybrid
16,Regression-only,0.8590331472570638,Deep Hybrid
19,Regression-only,0.6696940783532127,Deep Hybrid
20,Regression-only,1.0,Deep Hybrid
25,Regression-only,0.9363792118010482,Deep Hybrid
26,Regression-only,1.0,Deep Hybrid
27,Regression-only,1.0,Deep Hybrid
28,Regression-only,1.0,Deep Hybrid
30,Regression-only,0.92663607790064,Deep Hybrid
32,Regression-only,0.4495923615080625,Deep Hybrid
33,Regression-only,0.8990684392693267,Deep Hybrid
35,Regression-only,0.3764459522792426,Deep Hybrid
37,Regression-only,0.8926382747840401,Deep Hybrid
38,Regression-only,0.9575861412006988,Deep Hybrid
39,Regression-only,0.9008240627729516,Deep Hybrid
40,Regression-only,1.0,Deep Hybrid
41,Regression-only,0.8482378089219647,Deep Hybrid
42,Regression-only,0.9477344873475498,Deep Hybrid
43,Regression-only,0.7935840677649109,Deep Hybrid
45,Regression-only,0.5161769796369121,Deep Hybrid
46,Regression-only,0.43231813227099475,Dense
48,Regression-only,0.6848374495230164,Deep Hybrid
8,Regression-only,0.22784037450527975,Dense
9,Regression-only,0.34640517988858555,Deep Hybrid
12,Classification-only,0.3601842009904407,Deep Hybrid
14,Classification-only,0.6139693490201902,Deep Hybrid
16,Classification-only,0.8590331472570638,Deep Hybrid
19,Classification-only,0.6696940783532127,Deep Hybrid
20,Classification-only,1.0,Deep Hybrid
25,Classification-only,0.9363792118010482,Deep Hybrid
26,Classification-only,1.0,Deep Hybrid
27,Classification-only,1.0,Deep Hybrid
28,Classification-only,1.0,Deep Hybrid
30,Classification-only,0.92663607790064,Deep Hybrid
32,Classification-only,0.4495923615080625,Deep Hybrid
33,Classification-only,0.8990684392693267,Deep Hybrid
35,Classification-only,0.3764459522792426,Deep Hybrid
37,Classification-only,0.8926382747840401,Deep Hybrid
38,Classification-only,0.9575861412006988,Deep Hybrid
39,Classification-only,0.9008240627729516,Deep Hybrid
40,Classification-only,1.0,Deep Hybrid
41,Classification-only,0.8482378089219647,Deep Hybrid
42,Classification-only,0.9477344873475498,Deep Hybrid
43,Classification-only,0.7935840677649109,Deep Hybrid
45,Classification-only,0.5161769796369121,Deep Hybrid
46,Classification-only,1.0,Deep Hybrid
48,Classification-only,0.6848374495230164,Deep Hybrid
8,Classification-only,0.22784037450527975,Dense
9,Classification-only,0.34640517988858555,Deep Hybrid
12,Oracle,0.3601842009904407,Deep Hybrid
14,Oracle,0.6139693490201902,Deep Hybrid
16,Oracle,1.0,Dense
19,Oracle,0.6696940783532127,Deep Hybrid
20,Oracle,1.0,Deep Hybrid
25,Oracle,0.9363792118010482,Deep Hybrid
26,Oracle,1.0,Deep Hybrid
27,Oracle,1.0,Deep Hybrid
28,Oracle,1.0,Deep Hybrid
30,Oracle,0.92663607790064,Deep Hybrid
32,Oracle,0.4495923615080625,Deep Hybrid
33,Oracle,0.8990684392693267,Deep Hybrid
35,Oracle,0.3764459522792426,Deep Hybrid
37,Oracle,0.8926382747840401,Deep Hybrid
38,Oracle,0.9575861412006988,Deep Hybrid
39,Oracle,0.9432379215722527,Dense
40,Oracle,1.0,Deep Hybrid
41,Oracle,1.0,Dense
42,Oracle,0.955830517697074,Dense
43,Oracle,1.0,Dense
45,Oracle,0.5471632073457939,Dense
46,Oracle,1.0,Deep Hybrid
48,Oracle,0.8307078519737277,Dense
8,Oracle,0.901447006056365,Deep Hybrid
9,Oracle,0.34640517988858555,Deep Hybrid
