query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
10,trec-covid,2026,balanced,balanced,Dense,0.4870000011578668,580.374799999845,0.018699996871873736,0.031299998227041215,0.0,5.742699999245815,1.4678000006824732,588.12229999603,0,0,0
12,trec-covid,2026,balanced,balanced,Dense,0.4879000007349532,622.0510000021022,0.018599999748403206,0.029299997549969703,0.0,2.697299998544622,1.0903999973379541,626.3744999960181,0,0,0
13,trec-covid,2026,balanced,balanced,Dense,0.47900000208755955,348.6168999988877,0.0180000024556648,0.029099999665049836,0.0,4.336900001362665,1.056500001141103,354.5364000055997,0,0,0
15,trec-covid,2026,balanced,balanced,Dense,0.4945999971823767,447.6178000004438,0.018799997633323073,0.03020000076503493,0.0,3.960400001233211,1.0880000008910429,453.2097999981488,0,0,0
16,trec-covid,2026,balanced,balanced,Dense,0.400400000216905,383.9890000017476,0.01840000186348334,0.030399998649954796,0.0,2.9364000001805834,1.038200000039069,388.4128000026976,0,0,0
18,trec-covid,2026,balanced,balanced,Dense,0.44770000022253953,519.9035000005097,0.0213999992411118,0.040800001443130895,0.0,3.472299998975359,1.0240999981760979,524.9097999985679,0,0,0
19,trec-covid,2026,balanced,balanced,Dense,0.44379999962984584,487.15850000007777,0.016900001355679706,0.032800002372823656,0.0,3.654399999504676,1.0312000013072975,492.3376000042481,0,0,0
2,trec-covid,2026,balanced,balanced,Dense,0.6088000009185635,528.4708999970462,0.018200000340584666,0.028700000257231295,0.0,4.008899999462301,1.0289999991073273,534.1644999971322,0,0,0
22,trec-covid,2026,balanced,balanced,Deep Hybrid,0.5043999990448356,412.94420000122045,0.01790000169421546,0.030100000003585592,595.627599999716,4.037499998958083,1.075799998943694,1014.2374999995809,1,100,0
23,trec-covid,2026,balanced,balanced,Dense,0.5124999988765921,538.7841000010667,0.03310000101919286,0.04479999915929511,0.0,2.7344999980414286,1.026600002660416,543.1356000008236,0,0,0
24,trec-covid,2026,balanced,balanced,Deep Hybrid,0.47530000301776454,535.0557999990997,0.01809999957913533,0.030499999411404133,561.0908000016934,4.276799998478964,1.0184999991906807,1101.965800000471,1,100,0
26,trec-covid,2026,balanced,balanced,Deep Hybrid,0.4012000026705209,364.76459999903454,0.01930000144056976,0.02800000220304355,390.66669999374426,3.55900000067777,1.2613999970199075,760.7001999967906,1,100,0
27,trec-covid,2026,balanced,balanced,Deep Hybrid,0.46490000022458844,535.9618000002229,0.019499999325489625,0.027900001441594213,496.9567000007373,3.0196000006981194,1.1142000003019348,1037.564600002952,1,100,0
28,trec-covid,2026,balanced,balanced,Deep Hybrid,0.37929999962216243,603.839399998833,0.018500002624932677,0.029299997549969703,530.2608999991207,3.8272999991022516,1.05489999987185,1139.4095999967249,1,100,0
29,trec-covid,2026,balanced,balanced,Dense,0.4484999990381766,1020.2033000023221,0.01930000144056976,0.028700000257231295,0.0,3.992499998275889,1.0333999998692889,1025.7257000012032,0,0,0
32,trec-covid,2026,balanced,balanced,Deep Hybrid,0.507699998706812,518.6308000011195,0.019099999917671084,0.02930000118794851,433.2481999990705,3.813700001046527,1.0270000020682346,957.2758000031172,1,100,0
34,trec-covid,2026,balanced,balanced,Deep Hybrid,0.5095000014989637,565.4189000015322,0.018299997464055195,0.02970000059576705,432.24740000005113,3.676100001030136,1.0282000002916902,1002.9281000024639,1,100,0
37,trec-covid,2026,balanced,balanced,Deep Hybrid,0.4349999981059227,533.3176999993157,0.019499999325489625,0.030000002880115062,617.9515999974683,4.141199999139644,1.0060000022349413,1156.90099999847,1,100,0
39,trec-covid,2026,balanced,balanced,Deep Hybrid,0.3529999994498212,570.1823999988846,0.01920000067912042,0.031600000511389226,493.2941999977629,4.11050000184332,1.0061000029963907,1068.9970000021276,1,100,0
4,trec-covid,2026,balanced,balanced,Deep Hybrid,0.514600000315113,239.8845000025176,0.0197000008483883,0.03190000279573724,444.716599991807,3.4665999992284924,1.0436000011395663,689.6774999986519,1,100,0
42,trec-covid,2026,balanced,balanced,Dense,0.4043000008095987,393.35399999981746,0.017800000932766125,0.03239999932702631,0.0,4.148599997279234,1.0201000004599337,398.977199998626,0,0,0
5,trec-covid,2026,balanced,balanced,Deep Hybrid,0.42720000055851415,569.1311999980826,0.019600000086938962,0.03220000144210644,619.2427000023599,4.39629999891622,1.0087000009662006,1194.2579000024125,1,100,0
50,trec-covid,2026,balanced,balanced,Deep Hybrid,0.4558000000542961,545.8324999999604,0.01790000169421546,0.029099999665049836,383.56520000161254,4.346999998233514,1.0380000021541491,935.2855000033742,1,100,0
7,trec-covid,2026,balanced,balanced,Dense,0.46210000073187985,431.21160000009695,0.018799997633323073,0.031000003218650818,0.0,4.150199998548487,1.0129000002052635,436.88660000043456,0,0,0
8,trec-covid,2026,balanced,balanced,Dense,0.5173999998078216,666.2165999987337,0.01920000067912042,0.02970000059576705,0.0,4.0551999991294,1.0113999996974599,671.8494999986433,0,0,0
