query_id,method,ndcg_at_10
10039,Dense,0.630930
10039,P-SAFE-AMSR,0.630930
10109,Dense,0.539929
10109,P-SAFE-AMSR,0.539929
10122,Dense,0.000000
10122,P-SAFE-AMSR,0.000000
10136,Dense,0.296082
10136,P-SAFE-AMSR,0.296082
10137,Dense,0.500000
10137,P-SAFE-AMSR,0.500000
10183,Dense,0.237198
10183,P-SAFE-AMSR,0.237198
10213,Dense,0.000000
10213,P-SAFE-AMSR,0.000000
10267,Dense,0.000000
10267,P-SAFE-AMSR,0.000000
10447,Dense,0.202107
10447,P-SAFE-AMSR,0.202107
10482,Dense,0.000000
10482,P-SAFE-AMSR,0.000000
10497,Dense,0.500973
10497,P-SAFE-AMSR,0.500973
10526,Dense,0.306574
10526,P-SAFE-AMSR,0.306574
10547,Dense,0.000000
10547,P-SAFE-AMSR,0.000000
10558,Dense,0.613147
10558,P-SAFE-AMSR,0.613147
10601,Dense,0.000000
10601,P-SAFE-AMSR,0.000000
10645,Dense,0.378002
10645,P-SAFE-AMSR,0.378002
10710,Dense,0.000000
10710,P-SAFE-AMSR,0.000000
10734,Dense,0.775148
10734,P-SAFE-AMSR,0.775148
1074,Dense,1.000000
1074,P-SAFE-AMSR,1.000000
10808,Dense,0.765361
10808,P-SAFE-AMSR,0.765361
10809,Dense,0.765361
10809,P-SAFE-AMSR,0.765361
10812,Dense,0.636682
10812,P-SAFE-AMSR,0.636682
10845,Dense,1.000000
10845,P-SAFE-AMSR,1.000000
1085,Dense,0.000000
1085,P-SAFE-AMSR,0.000000
109,Dense,1.000000
109,P-SAFE-AMSR,1.000000
10912,Dense,0.000000
10912,P-SAFE-AMSR,0.000000
10932,Dense,1.000000
10932,P-SAFE-AMSR,1.000000
10975,Dense,0.000000
10975,P-SAFE-AMSR,0.000000
10979,Dense,0.541400
10979,P-SAFE-AMSR,0.541400
10994,Dense,0.264068
10994,P-SAFE-AMSR,0.264068
11039,Dense,0.169895
11039,P-SAFE-AMSR,0.169895
11088,Dense,1.000000
11088,P-SAFE-AMSR,1.000000
1150,Dense,0.151020
1150,P-SAFE-AMSR,0.151020
1157,Dense,0.386853
1157,P-SAFE-AMSR,0.386853
1159,Dense,0.000000
1159,P-SAFE-AMSR,0.000000
1198,Dense,1.000000
1198,P-SAFE-AMSR,1.000000
1281,Dense,0.630930
1281,P-SAFE-AMSR,0.630930
1310,Dense,0.000000
1310,P-SAFE-AMSR,0.000000
1321,Dense,0.000000
1321,P-SAFE-AMSR,0.000000
1469,Dense,1.000000
1469,P-SAFE-AMSR,1.000000
15,Dense,1.000000
15,P-SAFE-AMSR,1.000000
1736,Dense,0.000000
1736,P-SAFE-AMSR,0.000000
1783,Dense,0.000000
1783,P-SAFE-AMSR,0.000000
1812,Dense,0.177239
1812,P-SAFE-AMSR,0.177239
1815,Dense,1.000000
1815,P-SAFE-AMSR,1.000000
1819,Dense,0.151301
1819,P-SAFE-AMSR,0.151301
1824,Dense,0.630930
1824,P-SAFE-AMSR,0.630930
1826,Dense,1.000000
1826,P-SAFE-AMSR,1.000000
1889,Dense,0.000000
1889,P-SAFE-AMSR,0.000000
1915,Dense,1.000000
1915,P-SAFE-AMSR,1.000000
1933,Dense,1.000000
1933,P-SAFE-AMSR,1.000000
1948,Dense,1.000000
1948,P-SAFE-AMSR,1.000000
2010,Dense,0.496743
2010,P-SAFE-AMSR,0.496743
2070,Dense,0.135652
2070,P-SAFE-AMSR,0.135652
2075,Dense,0.655346
2075,P-SAFE-AMSR,0.655346
2076,Dense,1.000000
2076,P-SAFE-AMSR,1.000000
2118,Dense,0.000000
2118,P-SAFE-AMSR,0.000000
2181,Dense,0.000000
2181,P-SAFE-AMSR,0.000000
2183,Dense,0.689851
2183,P-SAFE-AMSR,0.689851
2204,Dense,0.903222
2204,P-SAFE-AMSR,0.903222
2296,Dense,0.482566
2296,P-SAFE-AMSR,0.482566
2306,Dense,0.306574
2306,P-SAFE-AMSR,0.306574
2318,Dense,0.000000
2318,P-SAFE-AMSR,0.000000
2330,Dense,0.613147
2330,P-SAFE-AMSR,0.613147
2376,Dense,0.983017
2376,P-SAFE-AMSR,0.983017
2398,Dense,0.000000
2398,P-SAFE-AMSR,0.000000
2399,Dense,1.000000
2399,P-SAFE-AMSR,1.000000
2400,Dense,0.469279
2400,P-SAFE-AMSR,0.469279
2423,Dense,0.499028
2423,P-SAFE-AMSR,0.499028
2465,Dense,0.000000
2465,P-SAFE-AMSR,0.000000
2486,Dense,1.000000
2486,P-SAFE-AMSR,1.000000
2498,Dense,0.000000
2498,P-SAFE-AMSR,0.000000
2516,Dense,0.664551
2516,P-SAFE-AMSR,0.664551
2551,Dense,1.000000
2551,P-SAFE-AMSR,1.000000
2580,Dense,0.469279
2580,P-SAFE-AMSR,0.469279
2587,Dense,1.000000
2587,P-SAFE-AMSR,1.000000
2590,Dense,0.469279
2590,P-SAFE-AMSR,0.469279
2593,Dense,0.296082
2593,P-SAFE-AMSR,0.296082
2648,Dense,1.000000
2648,P-SAFE-AMSR,1.000000
2676,Dense,1.000000
2676,P-SAFE-AMSR,1.000000
2695,Dense,1.000000
2695,P-SAFE-AMSR,1.000000
2713,Dense,0.218407
2713,P-SAFE-AMSR,0.218407
2790,Dense,0.393259
2790,P-SAFE-AMSR,0.393259
2801,Dense,0.806574
2801,P-SAFE-AMSR,0.806574
2857,Dense,0.636682
2857,P-SAFE-AMSR,0.636682
2885,Dense,0.000000
2885,P-SAFE-AMSR,0.000000
2891,Dense,1.000000
2891,P-SAFE-AMSR,1.000000
2903,Dense,0.000000
2903,P-SAFE-AMSR,0.000000
2923,Dense,0.835780
2923,P-SAFE-AMSR,0.835780
2964,Dense,0.000000
2964,P-SAFE-AMSR,0.000000
3006,Dense,0.429694
3006,P-SAFE-AMSR,0.429694
3008,Dense,0.390380
3008,P-SAFE-AMSR,0.390380
3014,Dense,0.613147
3014,P-SAFE-AMSR,0.613147
3033,Dense,0.386853
3033,P-SAFE-AMSR,0.386853
3049,Dense,0.527275
3049,P-SAFE-AMSR,0.527275
3051,Dense,1.000000
3051,P-SAFE-AMSR,1.000000
3085,Dense,0.000000
3085,P-SAFE-AMSR,0.000000
3179,Dense,0.817530
3179,P-SAFE-AMSR,0.817530
3254,Dense,0.671386
3254,P-SAFE-AMSR,0.671386
3357,Dense,0.630930
3357,P-SAFE-AMSR,0.630930
3369,Dense,0.000000
3369,P-SAFE-AMSR,0.000000
34,Dense,0.000000
34,P-SAFE-AMSR,0.000000
3451,Dense,0.173428
3451,P-SAFE-AMSR,0.173428
3453,Dense,0.613147
3453,P-SAFE-AMSR,0.613147
3480,Dense,1.000000
3480,P-SAFE-AMSR,1.000000
3503,Dense,0.480326
3503,P-SAFE-AMSR,0.480326
3512,Dense,0.797723
3512,P-SAFE-AMSR,0.797723
3528,Dense,0.000000
3528,P-SAFE-AMSR,0.000000
3530,Dense,0.167160
3530,P-SAFE-AMSR,0.167160
3594,Dense,0.312706
3594,P-SAFE-AMSR,0.312706
3612,Dense,0.000000
3612,P-SAFE-AMSR,0.000000
3724,Dense,0.469000
3724,P-SAFE-AMSR,0.469000
3771,Dense,0.410392
3771,P-SAFE-AMSR,0.410392
3781,Dense,1.000000
3781,P-SAFE-AMSR,1.000000
3791,Dense,0.181542
3791,P-SAFE-AMSR,0.181542
3801,Dense,0.613147
3801,P-SAFE-AMSR,0.613147
3830,Dense,0.000000
3830,P-SAFE-AMSR,0.000000
3932,Dense,0.306574
3932,P-SAFE-AMSR,0.306574
3934,Dense,0.000000
3934,P-SAFE-AMSR,0.000000
3995,Dense,0.000000
3995,P-SAFE-AMSR,0.000000
4007,Dense,0.610546
4007,P-SAFE-AMSR,0.610546
4011,Dense,1.000000
4011,P-SAFE-AMSR,1.000000
4031,Dense,0.000000
4031,P-SAFE-AMSR,0.000000
4084,Dense,1.000000
4084,P-SAFE-AMSR,1.000000
4103,Dense,0.000000
4103,P-SAFE-AMSR,0.000000
4105,Dense,0.000000
4105,P-SAFE-AMSR,0.000000
4153,Dense,0.000000
4153,P-SAFE-AMSR,0.000000
42,Dense,0.000000
42,P-SAFE-AMSR,0.000000
4265,Dense,0.752614
4265,P-SAFE-AMSR,0.752614
4286,Dense,0.613147
4286,P-SAFE-AMSR,0.613147
4289,Dense,0.613147
4289,P-SAFE-AMSR,0.613147
4312,Dense,0.693023
4312,P-SAFE-AMSR,0.693023
4335,Dense,0.831872
4335,P-SAFE-AMSR,0.831872
4409,Dense,0.298490
4409,P-SAFE-AMSR,0.298490
4411,Dense,0.469279
4411,P-SAFE-AMSR,0.469279
4433,Dense,0.000000
4433,P-SAFE-AMSR,0.000000
4447,Dense,0.630930
4447,P-SAFE-AMSR,0.630930
4465,Dense,0.000000
4465,P-SAFE-AMSR,0.000000
4484,Dense,1.000000
4484,P-SAFE-AMSR,1.000000
4499,Dense,0.234639
4499,P-SAFE-AMSR,0.234639
4514,Dense,0.644824
4514,P-SAFE-AMSR,0.644824
4605,Dense,0.673023
4605,P-SAFE-AMSR,0.673023
4615,Dense,0.550377
4615,P-SAFE-AMSR,0.550377
4640,Dense,0.000000
4640,P-SAFE-AMSR,0.000000
4700,Dense,1.000000
4700,P-SAFE-AMSR,1.000000
4767,Dense,0.000000
4767,P-SAFE-AMSR,0.000000
4804,Dense,0.877215
4804,P-SAFE-AMSR,0.877215
4827,Dense,1.000000
4827,P-SAFE-AMSR,1.000000
4837,Dense,0.000000
4837,P-SAFE-AMSR,0.000000
4846,Dense,0.000000
4846,P-SAFE-AMSR,0.000000
4865,Dense,0.000000
4865,P-SAFE-AMSR,0.000000
4920,Dense,0.765361
4920,P-SAFE-AMSR,0.765361
4942,Dense,0.000000
4942,P-SAFE-AMSR,0.000000
4946,Dense,1.000000
4946,P-SAFE-AMSR,1.000000
4981,Dense,0.765361
4981,P-SAFE-AMSR,0.765361
4999,Dense,0.585570
4999,P-SAFE-AMSR,0.585570
5021,Dense,0.000000
5021,P-SAFE-AMSR,0.000000
503,Dense,0.000000
503,P-SAFE-AMSR,0.000000
504,Dense,0.000000
504,P-SAFE-AMSR,0.000000
5045,Dense,0.356207
5045,P-SAFE-AMSR,0.356207
5064,Dense,0.919721
5064,P-SAFE-AMSR,0.919721
5083,Dense,0.613147
5083,P-SAFE-AMSR,0.613147
515,Dense,0.386853
515,P-SAFE-AMSR,0.386853
5150,Dense,0.333333
5150,P-SAFE-AMSR,0.333333
5155,Dense,1.000000
5155,P-SAFE-AMSR,1.000000
5196,Dense,0.469279
5196,P-SAFE-AMSR,0.469279
5206,Dense,0.130324
5206,P-SAFE-AMSR,0.130324
5343,Dense,0.630930
5343,P-SAFE-AMSR,0.630930
5347,Dense,1.000000
5347,P-SAFE-AMSR,1.000000
5356,Dense,0.220047
5356,P-SAFE-AMSR,0.220047
5369,Dense,0.000000
5369,P-SAFE-AMSR,0.000000
5422,Dense,0.117516
5422,P-SAFE-AMSR,0.117516
5427,Dense,0.386853
5427,P-SAFE-AMSR,0.386853
5460,Dense,0.000000
5460,P-SAFE-AMSR,0.000000
5464,Dense,0.671386
5464,P-SAFE-AMSR,0.671386
547,Dense,0.000000
547,P-SAFE-AMSR,0.000000
5503,Dense,0.613147
5503,P-SAFE-AMSR,0.613147
5511,Dense,0.094788
5511,P-SAFE-AMSR,0.094788
5534,Dense,0.000000
5534,P-SAFE-AMSR,0.000000
5585,Dense,0.000000
5585,P-SAFE-AMSR,0.000000
56,Dense,0.630930
56,P-SAFE-AMSR,0.630930
5616,Dense,0.333333
5616,P-SAFE-AMSR,0.333333
5620,Dense,0.000000
