query_id,method,ndcg_at_10
PLAIN-1018,Dense,0.227938
PLAIN-1018,P-SAFE-AMSR,0.409273
PLAIN-1050,Dense,0.000000
PLAIN-1050,P-SAFE-AMSR,0.000000
PLAIN-1066,Dense,0.000000
PLAIN-1066,P-SAFE-AMSR,0.000000
PLAIN-1119,Dense,0.000000
PLAIN-1119,P-SAFE-AMSR,0.000000
PLAIN-112,Dense,0.705868
PLAIN-112,P-SAFE-AMSR,0.705868
PLAIN-1151,Dense,0.356596
PLAIN-1151,P-SAFE-AMSR,0.356596
PLAIN-1161,Dense,0.000000
PLAIN-1161,P-SAFE-AMSR,0.000000
PLAIN-1172,Dense,0.220092
PLAIN-1172,P-SAFE-AMSR,0.220092
PLAIN-1193,Dense,0.069431
PLAIN-1193,P-SAFE-AMSR,0.179477
PLAIN-12,Dense,0.084606
PLAIN-12,P-SAFE-AMSR,0.084606
PLAIN-1236,Dense,0.339160
PLAIN-1236,P-SAFE-AMSR,0.339160
PLAIN-1262,Dense,0.293456
PLAIN-1262,P-SAFE-AMSR,0.469000
PLAIN-1275,Dense,0.532621
PLAIN-1275,P-SAFE-AMSR,0.532621
PLAIN-1288,Dense,0.428840
PLAIN-1288,P-SAFE-AMSR,0.428840
PLAIN-1299,Dense,0.220092
PLAIN-1299,P-SAFE-AMSR,0.396392
PLAIN-1353,Dense,0.000000
PLAIN-1353,P-SAFE-AMSR,0.000000
PLAIN-1363,Dense,0.069431
PLAIN-1363,P-SAFE-AMSR,0.220092
PLAIN-1387,Dense,0.547398
PLAIN-1387,P-SAFE-AMSR,0.547398
PLAIN-1398,Dense,1.000000
PLAIN-1398,P-SAFE-AMSR,1.000000
PLAIN-143,Dense,0.657355
PLAIN-143,P-SAFE-AMSR,0.729470
PLAIN-1441,Dense,0.409951
PLAIN-1441,P-SAFE-AMSR,0.409951
PLAIN-1473,Dense,1.000000
PLAIN-1473,P-SAFE-AMSR,1.000000
PLAIN-1506,Dense,0.138862
PLAIN-1506,P-SAFE-AMSR,0.138862
PLAIN-1527,Dense,0.914857
PLAIN-1527,P-SAFE-AMSR,0.621401
PLAIN-153,Dense,0.945564
PLAIN-153,P-SAFE-AMSR,0.410345
PLAIN-1537,Dense,0.752969
PLAIN-1537,P-SAFE-AMSR,0.752969
PLAIN-1547,Dense,0.000000
PLAIN-1547,P-SAFE-AMSR,0.000000
PLAIN-1568,Dense,0.000000
PLAIN-1568,P-SAFE-AMSR,0.624051
PLAIN-1601,Dense,0.703407
PLAIN-1601,P-SAFE-AMSR,0.781805
PLAIN-1611,Dense,0.000000
PLAIN-1611,P-SAFE-AMSR,0.000000
PLAIN-1621,Dense,0.000000
PLAIN-1621,P-SAFE-AMSR,0.000000
PLAIN-1656,Dense,0.063621
