query_id,method,ndcg_at_10
100,Dense,0.500000
100,P-SAFE-AMSR,0.500000
1014,Dense,1.000000
1014,P-SAFE-AMSR,1.000000
1029,Dense,0.765361
1029,P-SAFE-AMSR,0.765361
1089,Dense,1.000000
1089,P-SAFE-AMSR,1.000000
1104,Dense,1.000000
1104,P-SAFE-AMSR,1.000000
1110,Dense,0.000000
1110,P-SAFE-AMSR,0.000000
1130,Dense,1.000000
1130,P-SAFE-AMSR,1.000000
1132,Dense,0.613147
1132,P-SAFE-AMSR,0.613147
1137,Dense,0.630930
1137,P-SAFE-AMSR,0.630930
1140,Dense,0.500000
1140,P-SAFE-AMSR,0.500000
1144,Dense,1.000000
1144,P-SAFE-AMSR,1.000000
1146,Dense,1.000000
1146,P-SAFE-AMSR,1.000000
115,Dense,1.000000
115,P-SAFE-AMSR,1.000000
1163,Dense,1.000000
1163,P-SAFE-AMSR,1.000000
1175,Dense,0.000000
1175,P-SAFE-AMSR,0.000000
118,Dense,1.000000
118,P-SAFE-AMSR,1.000000
1180,Dense,1.000000
1180,P-SAFE-AMSR,1.000000
1194,Dense,1.000000
1194,P-SAFE-AMSR,1.000000
1197,Dense,0.500000
1197,P-SAFE-AMSR,0.500000
1199,Dense,0.000000
1199,P-SAFE-AMSR,0.000000
1216,Dense,1.000000
1216,P-SAFE-AMSR,1.000000
1221,Dense,1.000000
1221,P-SAFE-AMSR,1.000000
1226,Dense,0.000000
1226,P-SAFE-AMSR,0.000000
124,Dense,1.000000
124,P-SAFE-AMSR,1.000000
1241,Dense,1.000000
1241,P-SAFE-AMSR,1.000000
1259,Dense,1.000000
1259,P-SAFE-AMSR,1.000000
1270,Dense,1.000000
1270,P-SAFE-AMSR,1.000000
1271,Dense,1.000000
1271,P-SAFE-AMSR,1.000000
1273,Dense,1.000000
1273,P-SAFE-AMSR,1.000000
1274,Dense,0.838547
1274,P-SAFE-AMSR,0.838547
1278,Dense,0.000000
1278,P-SAFE-AMSR,0.000000
1279,Dense,0.500000
1279,P-SAFE-AMSR,0.500000
1280,Dense,0.000000
1280,P-SAFE-AMSR,0.000000
